#{"t_start": 1634806412.4886835, "env_id": "A1GymEnv-v0"}
r,l,t
-0.229952,15,7.603187
-0.220432,15,9.019392
0.549732,61,14.815476
-0.244815,31,17.764636
-0.197587,15,19.186685
-0.044805,16,20.712535
-0.067099,17,22.3286
0.046224,10,23.282889
0.070934,21,25.275187
-0.107429,11,26.313302
-0.166441,36,29.720826
0.098448,24,32.002849
-0.17784,23,34.185254
-0.255368,30,37.036186
-0.179767,21,39.065646
-0.062898,25,41.437395
-0.073949,55,46.679819
-0.152401,19,48.488911
-0.149662,15,49.924562
0.179132,29,52.677228
-0.413625,30,102.722026
0.004087,8,103.490978
-0.034592,9,104.373577
-0.260289,15,105.821117
-0.12512,62,111.799874
-0.217005,21,211.595129
0.027314,29,214.303021
-0.073396,7,214.957218
0.025471,14,216.256167
-0.152854,43,220.272371
-0.148939,19,222.051369
-0.108652,11,223.072116
-0.215397,12,224.193352
-0.01433,25,226.515865
-0.188395,25,228.898776
-0.104127,12,230.01392
-0.180771,16,231.515074
0.001773,21,233.498493
-0.083117,13,234.713511
-0.059874,9,235.551212
0.004431,48,240.052768
-0.073932,22,242.09579
0.028374,18,243.765043
-0.184799,16,245.250101
-0.002122,11,246.273837
-0.00429,25,296.780606
0.02944,15,298.21336
0.070934,46,302.595335
-0.347804,33,305.746363
0.01664,16,307.281821
-0.201533,19,309.107971
0.139392,52,314.057909
-0.034799,17,315.685898
-0.044826,14,317.033867
0.022858,21,417.495179
0.039713,35,420.845976
0.102914,19,422.671326
-0.070518,17,424.287949
-0.02325,11,425.345642
0.148845,28,428.013513
-0.043756,22,430.107206
0.0209,16,431.636314
0.26589,48,436.208157
0.073161,25,438.592698
-0.197599,22,440.706799
0.023179,19,442.532679
0.301754,38,492.140702
0.001865,12,493.284883
-0.234463,32,496.341503
0.011866,20,498.253143
0.04349,19,500.071125
0.00408,41,503.99568
0.118754,9,504.850306
0.162331,16,506.381095
-0.051529,6,506.943827
0.360847,91,515.631345
0.110001,18,517.353649
0.011848,25,519.749307
-0.004863,24,617.643444
0.112487,34,620.822136
0.059669,22,622.897584
0.017666,8,623.658848
0.087508,18,625.379271
-0.003388,21,627.392138
0.010552,19,629.203818
0.017496,14,630.534479
0.120503,15,631.959883
-0.176239,56,683.727481
0.021912,12,684.858709
0.215452,25,687.194446
0.016207,9,688.04529
0.002237,17,689.635297
0.21373,21,691.593998
-0.022896,18,693.282164
-0.037141,18,694.96637
0.002701,10,695.905216
0.070512,15,697.304234
0.034998,8,698.049849
-0.063613,16,699.546552
0.098311,30,702.355804
-0.001853,11,703.393337
-0.049152,22,705.472127
0.016747,10,706.417806
-0.007795,13,707.63654
0.329393,40,711.371296
-0.008154,14,712.680724
0.117033,16,714.17948
0.28155,30,716.997166
0.032979,10,717.938065
0.108965,16,719.436927
0.098364,17,721.036965
0.024313,15,722.440116
0.065219,38,782.425156
-0.008129,8,783.190562
0.087257,21,831.272733
0.067686,11,832.301972
0.067122,12,833.433469
0.100307,27,835.981779
-0.027495,8,836.744207
0.073552,10,837.681916
0.147007,20,839.617336
0.034609,13,840.837487
0.050752,11,841.875793
-0.018348,37,845.39936
0.096628,14,846.799394
0.017325,12,847.968261
0.077477,16,849.527022
0.095116,19,851.33054
-0.003077,9,852.183435
0.068093,29,854.929379
0.083371,10,855.8719
0.411916,28,858.519089
0.286536,20,860.390648
0.080555,10,861.341113
0.191132,24,863.647906
0.102529,15,865.115047
0.257895,33,868.223261
-0.067016,22,870.275559
0.099648,24,872.54925
0.206253,22,874.634681
0.07984,13,875.863229
-0.080287,28,878.55367
0.032289,25,932.892199
0.142538,23,935.114129
-0.037239,14,936.510479
0.235211,29,940.111024
0.066727,8,940.914284
0.055913,10,941.882079
0.199467,17,943.517019
0.135131,19,945.398472
0.200305,16,946.983656
0.477331,58,952.610662
0.31387,25,955.01361
0.200257,37,958.630681
0.170484,15,960.082927
0.060064,9,960.957918
0.181895,23,963.189349
0.262822,22,965.325991
0.49292,37,968.900371
0.170434,24,971.237074
0.138339,12,972.397419
0.189225,63,978.416379
0.169251,28,981.108279
0.125636,14,1031.359723
0.348054,20,1033.309899
0.331192,32,1036.410945
0.202198,17,1038.055923
0.296345,27,1040.653812
0.262151,34,1043.965536
0.424139,29,1046.777197
-0.062787,47,1052.074647
-0.006721,10,1053.032472
0.307499,18,1054.776111
0.135885,14,1056.121832
0.157352,32,1059.222683
0.006363,36,1062.767822
0.043605,9,1063.646745
0.284326,24,1065.984482
0.314924,24,1068.334446
0.259866,25,1070.753655
0.117154,27,1073.377473
0.230599,26,1075.910551
0.482789,49,1080.728971
0.340387,28,1132.449888
0.397017,25,1134.915341
0.26792,19,1136.848276
0.210675,17,1138.5629
0.026306,18,1140.311117
0.134969,32,1143.541961
0.161452,12,1144.698713
0.22405,13,1145.936392
0.223437,24,1148.263869
0.170342,25,1150.794999
0.312887,19,1152.659431
0.267709,16,1154.206755
0.29764,20,1156.144351
0.284159,40,1160.676332
0.106897,15,1162.174971
0.446992,26,1164.728919
0.207715,22,1166.895735
-0.004146,11,1167.970539
0.129027,22,1170.126226
0.184325,19,1171.953795
0.403616,24,1174.253415
0.121336,21,1176.263938
0.15543,14,1177.611469
0.178615,23,1179.814697
0.383319,30,1235.416909
0.400611,30,1238.426853
0.050691,10,1239.404296
0.062987,9,1240.278289
0.018641,13,1241.543509
0.107968,10,1242.512706
0.177922,15,1243.968455
0.064877,13,1245.233902
0.060958,10,1246.202458
0.500715,38,1249.919293
0.232766,17,1251.574937
0.112531,24,1253.893997
0.181434,18,1255.61798
0.067114,9,1256.483019
0.09586,13,1257.73238
0.578846,32,1260.822479
0.096374,21,1262.858442
0.280017,38,1266.683621
0.117568,10,1267.744075
0.45926,56,1274.125263
0.116042,11,1275.20619
0.437281,31,1278.268698
0.14719,28,1281.064421
0.15604,12,1282.246785
0.088282,10,1283.286117
0.272159,26,1335.094655
0.06669,19,1336.948645
0.18578,17,1338.612384
0.311032,25,1341.041298
0.573212,46,1345.536402
0.053274,10,1346.513771
0.048526,20,1348.457498
0.091108,11,1349.519387
0.524786,61,1355.478714
0.095,16,1357.047208
0.204755,15,1358.511189
0.167467,27,1361.166256
0.662752,47,1365.738299
0.23784,20,1367.67589
0.158546,46,1372.160804
0.589011,46,1376.626082
0.216886,19,1378.457937
0.172476,18,1380.196952
0.33919,20,1382.142479
0.151783,14,1383.488233
0.363419,43,1539.471848
0.179275,14,1540.843491
0.194805,38,1544.566246
0.115816,11,1545.704252
0.432812,38,1549.496101
0.066349,38,1553.255504
0.202186,14,1554.612702
0.166392,37,1558.22445
0.367594,23,1560.445898
0.47766,37,1564.02656
0.232579,24,1566.357298
0.089039,12,1567.511576
0.147924,30,1570.427859
0.139228,18,1572.211548
0.067089,14,1573.609329
-0.005697,15,1575.098366
