#{"t_start": 1634806410.9981835, "env_id": "A1GymEnv-v0"}
r,l,t
-0.093712,10,8.559972
-0.310739,30,11.39805
-0.08403,25,13.77402
-0.370281,21,15.770268
-0.303289,27,18.343741
-0.220014,18,20.044333
0.148789,23,22.237504
-0.211437,20,24.14428
-0.020031,9,24.995069
0.022101,22,27.081219
-0.231096,24,29.356235
-0.103576,23,31.530925
-0.245302,43,35.617404
-0.327995,22,37.697165
-0.079546,18,39.443118
0.034429,18,41.161197
-0.041917,16,42.681525
-0.267195,15,44.099668
-0.159528,20,46.020789
-0.153306,20,47.918178
-0.12312,15,49.347997
0.014435,24,51.638355
-0.130746,33,54.769822
0.02981,24,104.248122
-0.091048,11,105.314227
-0.154304,43,109.456516
-0.006045,8,110.231174
0.01335,18,111.979899
0.046802,13,113.230199
-0.015379,16,212.560395
-0.112846,37,216.012258
-0.107864,33,219.092195
-0.050294,14,220.406533
-0.058115,9,221.237348
-0.054587,11,222.26643
-0.061209,17,223.854201
-0.117881,18,225.529212
0.095005,19,227.291003
-0.109163,45,231.537634
-0.139044,11,232.571301
-0.062153,10,233.508295
-0.046672,13,234.739389
0.050332,25,237.074606
0.045551,50,241.761343
-0.571089,39,245.380335
-0.164169,13,246.588067
-0.238762,28,249.186241
-0.040243,21,299.35839
-0.199975,37,302.889625
-0.010289,10,303.842109
0.175859,43,307.945909
0.203887,21,309.960653
-0.085337,22,312.0602
0.073145,45,316.348858
0.037182,12,317.502494
0.102252,19,417.783627
0.014645,39,421.508494
0.021968,12,422.66434
0.047742,10,423.621303
0.055225,14,424.961811
0.067008,13,426.195686
-0.116382,12,427.343991
0.460653,64,433.444555
-0.044917,23,435.639906
-0.006295,14,436.969334
-0.076309,24,439.253736
0.052153,28,441.944953
0.000424,35,491.282406
0.088299,17,492.902112
0.073387,25,495.281717
0.082963,13,496.526054
0.295508,27,499.112558
0.19025,17,500.735668
0.0099,28,503.413781
-0.001538,10,504.372454
-0.122994,29,507.143044
-0.028455,11,508.188544
-0.032024,36,511.618631
0.102756,20,513.532802
-0.087275,14,514.868271
0.023669,36,518.312114
0.086005,14,519.645448
-0.085189,18,521.37373
-0.17563,15,522.812901
-0.000952,20,620.285687
0.055596,17,621.874954
0.023254,28,624.517977
0.095326,15,625.951201
0.32029,35,629.292546
0.09059,9,630.152097
-0.335853,61,682.432899
0.061474,11,683.477125
0.003977,12,684.596532
0.160382,47,689.001887
0.033455,37,692.462467
-0.064359,9,693.305169
-0.042104,16,694.805584
0.131688,26,697.240654
0.087097,16,698.733379
0.144112,29,701.446098
0.06486,17,703.041646
-0.084627,11,704.072616
0.162104,23,706.247872
0.180901,20,708.13887
0.127238,28,710.746844
0.20146,21,712.709361
0.027759,12,713.828439
-0.20079,23,715.98154
-0.131754,16,717.478944
0.136442,21,719.462806
0.131964,13,720.677548
0.077171,21,722.652525
0.005387,8,723.402758
0.290637,41,783.663778
0.045971,13,784.909015
0.243374,47,835.432896
0.173925,33,838.553314
0.344362,35,841.887634
-0.149101,13,843.11522
-0.069113,30,845.953161
0.147315,12,847.125654
-0.011508,8,847.927532
0.073231,19,849.78244
0.170684,25,852.190711
0.105184,44,856.357084
0.026159,10,857.301767
0.072341,16,858.822502
0.070391,12,859.947013
-0.012709,18,861.633296
0.144396,12,862.768959
0.108752,21,864.778621
0.19264,21,866.830765
0.040731,25,869.18584
0.093397,21,871.141292
0.096662,10,872.082656
0.136534,12,873.217533
-0.097458,9,874.073044
-0.031764,12,875.200262
0.081369,11,876.253857
-0.036345,25,878.623803
-0.055901,14,879.98272
0.064673,27,934.514113
0.005289,22,936.643596
-0.014595,26,939.975092
-0.018065,13,941.23925
0.060125,11,942.342845
0.223655,23,944.562187
0.12653,20,946.527611
0.098498,11,947.620448
0.044563,8,948.4107
0.003752,14,949.775683
0.183329,20,951.719963
0.094835,19,953.563988
0.129744,22,955.674554
0.030854,8,956.444383
0.204384,17,958.105622
0.837292,69,964.814736
0.173432,35,968.20437
0.098779,10,969.17129
0.087615,59,974.888987
-0.326392,63,980.892195
0.409582,50,1034.641703
0.214289,21,1036.686204
0.027404,16,1038.228857
0.109213,25,1040.649082
-0.023076,9,1041.508853
0.109388,13,1042.77564
0.322758,17,1044.429508
0.272496,23,1046.646296
0.188082,14,1048.008735
0.184877,13,1049.993075
0.085857,17,1051.638911
0.115928,10,1052.641948
0.113443,12,1053.791245
0.250448,23,1056.010404
0.080127,12,1057.162675
0.182407,12,1058.335041
0.142749,12,1059.494657
-0.074421,8,1060.270694
0.120921,13,1061.525225
-0.005486,21,1063.611538
0.197398,19,1065.468715
0.01407,21,1067.51093
-0.021913,18,1069.271348
0.066584,17,1070.921061
0.197167,17,1072.570821
-0.001253,12,1073.726446
