#{"t_start": 1634806411.668349, "env_id": "A1GymEnv-v0"}
r,l,t
-0.021096,10,7.91696
0.015024,30,10.755833
-0.137399,10,11.698474
-0.113285,17,13.318579
0.135296,22,15.413714
-0.137185,15,16.841517
-0.177481,12,17.980837
-0.185963,13,19.214695
-0.159273,31,22.163432
-0.008788,12,23.309459
-0.142093,29,26.062455
-0.236423,17,27.666427
-0.039953,7,28.336537
-0.064607,15,29.747362
-0.153902,34,32.980965
-0.177599,13,34.214561
-0.13117,14,35.54472
-0.086924,12,36.682055
-0.064248,11,37.723531
-0.013282,19,39.566413
-0.037983,30,42.415375
-0.27133,31,45.379274
-0.377523,24,47.658211
-0.079169,11,48.705956
0.010447,42,52.704467
-0.133863,21,54.695431
-0.060525,13,103.120192
0.168346,17,104.767457
0.031784,15,106.227607
-0.184429,35,109.590079
0.196113,21,111.622321
-0.249438,29,212.196115
-0.491716,42,216.118991
0.04356,30,218.91539
-0.092143,26,221.339604
-0.096061,10,222.275089
-0.007813,13,223.492372
0.092523,21,225.446557
-0.032047,16,226.927669
-0.173466,24,229.222039
0.001686,34,232.396857
0.018445,21,234.381214
0.011695,12,235.501292
-0.212746,16,236.997094
-0.142944,17,238.598975
-0.140917,48,243.070266
-0.009006,7,243.72157
-0.155697,30,246.500206
-0.055443,11,247.525068
-0.062505,8,248.269439
-0.080156,20,298.336809
0.308992,29,301.105175
0.230267,25,303.477059
0.104536,36,306.91685
-0.003586,18,308.642744
-0.047137,12,309.800876
0.050901,21,311.801836
0.027901,29,314.560102
-0.094767,23,316.762626
-0.00526,18,318.490623
-0.016269,34,420.197186
0.113641,56,425.553517
-0.187627,33,428.704839
0.131484,25,431.084274
0.068308,31,434.040581
-0.161727,37,437.561663
0.055304,35,440.914498
-0.120982,18,442.647788
-0.046823,22,490.732621
-0.005254,9,491.594259
-0.021964,11,492.640593
0.057827,10,493.593475
-0.113729,18,495.30614
0.156753,26,497.799074
0.083392,13,499.040779
0.060367,9,499.899646
0.011325,9,500.762683
0.028209,44,504.974883
0.069962,12,506.116741
-0.169111,27,508.690249
-0.000892,24,510.97668
-0.012958,8,511.742776
0.114756,24,514.03604
-0.10378,16,515.556908
-0.082799,10,516.514253
0.04875,16,518.04537
0.324691,60,619.366982
-0.235574,26,621.796019
-0.159812,21,623.781685
-0.083138,12,624.92353
-0.040504,24,627.224554
-0.020358,10,628.179345
0.025736,17,629.798295
-0.025826,11,630.849963
0.014216,35,634.180079
0.109528,20,682.552213
0.129127,28,685.179524
0.102175,12,686.307416
0.129587,25,688.645199
0.649022,39,692.288648
0.426864,34,695.474436
-0.038799,15,696.877895
0.169018,18,698.555887
0.079579,18,700.241151
-0.032548,33,703.334796
0.100769,13,704.559203
0.100244,13,705.793867
-0.177613,35,709.07789
0.265715,39,712.719792
0.033067,9,713.562984
0.196968,32,716.556385
0.081588,24,718.820326
0.297942,29,721.542071
-0.019472,21,723.507717
-0.125002,25,782.256831
-0.021249,10,783.211338
-0.088415,46,833.656368
0.250871,22,835.735178
-0.060953,12,836.863455
0.022259,10,837.815885
0.05115,10,838.769048
0.164062,35,842.094451
0.145834,16,843.6138
0.138845,14,844.935244
-0.033148,21,846.987573
0.176501,15,848.465523
0.024112,9,849.333948
-0.044609,25,851.733576
0.127794,16,853.245879
0.063344,12,854.390293
-0.145739,26,856.845383
0.15551,12,857.986745
0.228986,32,860.990937
0.080433,24,863.273632
0.123042,19,865.132951
0.063204,21,867.125811
0.147548,12,868.263438
0.013835,34,871.440627
0.154503,15,872.855784
0.051486,36,876.277415
0.253209,21,878.276679
0.164269,22,880.398759
0.116129,17,933.969389
0.007751,26,936.489166
0.306156,20,939.236118
0.047705,8,940.007894
0.008361,19,941.896811
0.181188,19,943.725569
0.103245,21,945.786346
0.097222,9,946.677828
-0.129114,38,950.390295
0.110159,21,952.444571
0.110383,13,953.691548
0.081243,20,955.61207
0.030033,53,960.772099
-0.002438,8,961.548978
0.04358,18,963.296145
0.046055,19,965.13459
0.017604,8,965.915925
0.05038,10,966.883205
0.062135,25,969.299561
0.262989,26,971.826923
0.025755,9,972.696717
0.141221,22,974.825533
0.098399,12,975.974668
0.129954,24,978.258727
0.094942,10,979.204258
0.082202,33,982.384671
0.170514,14,1032.635791
0.116416,18,1034.389098
0.151915,17,1036.044614
0.22178,28,1038.742303
0.079759,12,1039.906958
-0.076616,35,1043.308307
0.173022,16,1044.851533
0.145505,27,1047.465551
0.132349,16,1049.735957
0.101661,16,1051.307211
0.193255,61,1057.201593
0.098615,13,1058.465903
0.260838,30,1061.387798
0.097463,9,1062.283308
0.200172,15,1063.752889
0.389731,31,1066.771968
0.12105,11,1067.845421
0.079662,12,1069.024826
0.250521,24,1071.345592
0.057288,16,1072.891465
0.481943,27,1075.535908
0.077872,14,1076.893522
0.05831,17,1078.558279
0.148751,18,1080.34674
0.039727,13,1081.614302
0.073871,9,1131.517548
0.270099,17,1133.140743
0.0452,7,1133.813463
0.153453,24,1136.184674
0.09307,11,1137.304748
0.090051,13,1138.654417
0.215914,17,1140.315693
-0.023541,14,1141.680261
0.095577,50,1146.626522
0.148491,24,1148.942466
0.144511,15,1150.47742
0.096845,12,1151.681128
0.127162,19,1153.548117
0.128479,12,1154.706329
0.308503,22,1156.833879
1.028366,88,1166.106191
0.059261,23,1168.368633
0.276042,25,1170.818525
0.19732,18,1172.550434
0.113926,16,1174.085596
0.031852,12,1175.22979
0.141126,13,1176.476611
0.114468,13,1177.724319
0.057889,15,1179.165082
0.209996,20,1181.075748
0.164011,17,1235.423296
-0.095115,11,1236.499444
0.044165,10,1237.497733
0.071443,21,1239.604257
0.229436,31,1242.621076
0.317059,19,1244.46286
0.282324,17,1246.117758
0.09902,17,1247.783502
0.164473,15,1249.243239
0.11803,16,1250.80279
0.123674,17,1252.460032
0.063905,15,1253.911042
0.201662,14,1255.256233
0.246811,13,1256.501413
0.162931,31,1259.478199
0.187452,18,1261.220824
0.2192,22,1263.357982
0.297005,31,1266.494176
0.04153,20,1268.52825
0.189006,19,1270.400423
0.107874,19,1272.286556
-0.023464,20,1275.107861
0.592395,34,1278.429551
0.23907,22,1280.678671
-0.010621,18,1282.432583
0.134039,21,1284.574792
0.151367,20,1335.784277
0.112336,13,1337.058879
0.327377,23,1339.304041
0.159223,20,1341.237227
-0.110194,17,1342.891187
0.597274,36,1346.421543
0.068689,12,1347.592609
0.250365,32,1350.702465
0.255649,20,1352.671766
0.117514,20,1354.603427
0.04263,9,1355.480247
0.009617,11,1356.565667
-0.018586,17,1358.225888
0.412986,42,1362.34594
0.240496,18,1364.118829
0.807943,69,1370.831215
0.729574,38,1374.506254
0.512199,35,1377.895988
0.223836,36,1381.370992
0.113164,9,1382.250953
0.553381,48,1538.658897
0.120599,12,1539.866346
0.413279,51,1544.841983
0.171512,14,1546.28665
0.439083,60,1552.283858
0.146073,14,1553.651147
-0.095363,83,1561.717802
0.029502,23,1563.940812
0.148201,21,1565.975563
0.157136,12,1567.143562
0.099969,15,1568.586281
0.147991,14,1569.967914
0.100184,15,1571.414101
0.511454,44,1575.782317
0.127387,18,1577.59576
0.086429,17,1579.253796
0.211822,44,1583.513238
0.093872,25,1585.941636
-0.012613,17,1636.256086
0.459747,39,1640.239584
0.170392,14,1641.691463
0.085802,12,1642.934352
0.257041,25,1645.386873
0.556036,34,1749.756258
0.151968,15,1751.22959
0.316042,23,1753.52139
0.770993,43,1757.924807
0.135141,50,1762.876599
0.305337,79,1770.67119
0.493906,33,1773.956598
0.300376,50,1778.989033
0.186683,13,1780.28473
0.377742,28,1783.108911
0.062127,20,1785.122044
0.166231,12,1786.29773
0.370545,22,1843.550146
0.309941,22,1845.774263
0.096463,38,1849.596713
0.103376,18,1851.640767
0.134373,14,1853.114096
0.350449,25,1855.711728
0.029598,12,1856.977689
0.08278,10,1858.018381
0.357715,30,1861.139878
0.336428,33,1864.516948
0.700697,45,1975.345982
0.043934,13,1976.683969
0.259752,60,1982.771777
0.361306,26,1985.405836
0.175977,21,1987.550026
0.556299,44,1992.024465
0.317903,28,1994.887043
0.366309,23,1997.229347
0.140453,14,1998.683325
0.359644,24,2001.133874
0.167507,22,2055.265582
0.282279,42,2059.389648
1.165189,63,2065.733348
0.326303,30,2068.676285
0.266606,20,2070.652281
0.171725,20,2072.639999
0.352755,26,2075.232918
0.048801,12,2076.416411
0.203322,18,2078.186967
0.323069,25,2080.633554
0.286596,21,2082.84092
0.647647,58,2166.868567
0.311053,26,2169.428102
0.491756,26,2172.058503
0.304083,22,2174.239848
0.306695,22,2176.402992
0.193507,23,2178.654215
0.753787,55,2232.842761
0.255282,23,2235.092602
0.329505,32,2238.263995
0.140604,12,2239.454858
0.512876,36,2243.00775
0.34882,27,2245.80051
0.428795,29,2248.61778
0.47294,28,2251.276337
0.083513,15,2252.703493
0.222869,15,2254.140714
0.67462,39,2257.895289
0.51439,26,2260.36964
0.247451,18,2262.093865
0.463666,40,2265.98943
0.265963,19,2267.829181
0.36898,29,2270.61999
0.371055,20,2272.565904
0.299929,24,2274.973296
0.39915,23,2377.950845
0.962911,44,2382.278359
0.613971,29,2434.593783
0.371176,21,2436.594112
0.478833,55,2441.838403
1.012895,54,2446.949464
0.5528,77,2454.260931
0.273828,46,2458.617499
0.256222,25,2461.005717
1.006725,74,2468.060678
0.713171,48,2472.640994
0.31407,22,2474.737841
0.435993,94,2532.066451
0.193247,18,2569.12527
0.734505,56,2574.519955
0.919313,65,2580.871111
0.620932,42,2584.976104
0.296334,22,2587.132772
0.458864,64,2593.378839
0.06011,19,2595.222898
0.313456,53,2600.30924
0.2279,23,2602.512763
0.430344,38,2606.183351
0.541682,30,2609.113349
0.372124,27,2611.729362
0.995956,104,2671.370222
0.313885,31,2674.358891
0.406387,39,2678.160321
0.567026,48,2727.474905
0.287656,42,2731.510755
0.265952,22,2733.614651
0.345446,60,2739.411685
0.134479,14,2740.822605
0.603929,45,2745.265721
1.172883,77,2752.674287
0.365972,26,2755.238699
0.12002,10,2756.217856
0.561264,34,2807.271735
0.242289,17,2808.900823
0.602152,30,2811.774579
0.621976,69,2818.426966
0.669578,50,2823.271184
0.75943,48,2827.892444
0.686472,49,2855.858293
0.738581,37,2859.445915
0.196315,15,2860.90231
0.162842,18,2862.652749
0.276188,40,2866.518616
0.546806,41,2870.472397
0.753525,48,2875.103683
0.939885,53,2926.508368
0.525067,45,2930.819471
0.664521,53,2935.877217
0.399687,53,2940.948059
0.282239,30,2943.821932
0.300205,21,2945.819718
0.084159,28,2948.475435
0.615406,32,2951.497829
0.831774,102,2961.354272
0.716169,58,2997.585625
0.747398,46,3001.958972
0.287031,21,3003.957298
0.473762,35,3053.416881
1.686572,119,3064.856783
0.259078,18,3066.582993
1.045452,62,3072.535817
0.359405,49,3077.256513
0.34578,24,3079.569817
1.120045,69,3086.183816
0.566703,34,3089.436954
-0.021175,34,3092.693415
0.654389,33,3095.887728
0.811184,95,3185.73738
0.656971,38,3189.368021
0.241792,19,3191.191166
0.307548,17,3192.803011
0.601264,44,3196.933763
0.865065,63,3202.866932
0.428429,41,3206.716012
0.278946,30,3209.541137
0.870701,54,3214.612945
0.194938,21,3216.574186
0.676839,40,3220.319161
0.037581,7,3220.978183
0.430168,39,3224.692146
1.050232,84,3279.946016
0.131234,24,3282.211961
0.8075,45,3371.262087
0.616076,34,3374.533665
0.215999,16,3376.080277
0.272376,21,3378.108502
0.665614,46,3382.553627
0.352267,23,3384.764011
0.16251,20,3386.693233
0.228432,23,3388.914151
0.334001,25,3391.310181
1.174119,109,3401.803073
0.813615,41,3405.744594
0.220593,20,3407.664369
0.838335,45,3461.942333
0.758004,44,3466.215312
1.333758,80,3473.893424
0.820448,56,3479.29061
0.567878,33,3574.314532
0.562616,35,3577.701837
0.567004,42,3581.750335
0.287861,20,3583.675959
1.535825,82,3591.564129
0.949624,73,3598.467731
0.143113,12,3599.606152
1.35821,76,3651.818856
1.003899,49,3656.529938
1.003779,56,3661.921414
0.300023,20,3663.860266
0.254503,19,3665.682655
0.463851,112,3676.48196
0.343564,24,3767.607592
0.936623,81,3775.542104
1.177489,56,3780.937938
0.45688,47,3834.549877
0.881146,68,3841.140063
0.822784,42,3845.211806
2.283289,143,3859.071325
1.735328,136,3872.247164
0.92253,74,3973.189226
0.364127,22,3975.246623
1.022944,53,4027.752728
0.978336,70,4034.518173
1.468656,116,4045.719303
0.163998,33,4048.911701
1.765298,141,4062.501263
0.386885,23,4064.715591
1.35973,134,4219.554373
0.619051,28,4222.275223
1.702779,105,4232.465028
2.607777,151,4247.258469
1.290381,73,4254.393373
0.785699,45,4258.737016
0.474886,36,4262.239018
0.403546,64,4315.145612
0.427084,39,4318.962805
1.088522,63,4325.118744
2.398092,165,4435.130596
1.514503,92,4444.05214
1.313604,97,4453.462405
