#{"t_start": 1634806412.073715, "env_id": "A1GymEnv-v0"}
r,l,t
-0.152162,16,8.096812
-0.104419,12,9.230221
-0.165388,25,11.599114
0.157631,19,13.398463
-0.121822,10,14.358092
-0.13729,19,16.169618
-0.228683,21,18.162344
-0.244165,32,21.205877
-0.092704,17,22.823559
-0.069929,17,24.434086
-0.139216,48,28.983286
-0.046837,10,29.929103
-0.101332,14,31.255718
-0.403704,45,35.535772
-0.305674,20,37.433927
-0.037533,11,38.506624
-0.103722,9,39.370997
-0.194827,24,41.650077
-0.125654,16,43.168931
-0.070933,12,44.322906
-0.103447,8,45.085435
-0.240363,37,48.601061
-0.163377,23,50.793083
0.043451,25,53.172011
-0.023723,79,107.941446
0.076069,23,110.177134
0.029867,20,112.100919
0.057481,29,212.641253
-0.239421,40,216.382311
0.120675,28,218.999656
-0.106618,16,220.485044
-0.130245,10,221.422963
-0.235992,29,224.124764
0.040952,21,226.074706
0.228295,16,227.576724
0.052183,15,229.013148
-0.136857,12,230.131591
-0.032768,21,232.104267
0.027695,8,232.852011
-0.086071,50,237.558018
-0.100043,22,239.610245
-0.061966,21,241.564058
-0.101154,19,243.333187
-0.226729,25,245.649008
-0.096807,11,246.672874
-0.064518,11,247.693593
-0.075982,13,297.084109
0.076072,30,299.955751
-0.008883,30,302.809324
-0.04622,24,305.100793
0.096578,36,308.540981
-0.125018,16,310.078871
-0.057078,20,311.981836
0.261743,21,313.980127
-0.148794,12,315.125964
-0.024002,15,316.567165
-0.145788,43,419.138284
-0.087075,19,420.959892
-0.183525,22,423.068839
-0.00708,26,425.547638
-0.125799,34,428.794279
-0.210217,17,430.412201
0.097935,20,432.318127
-9.5e-05,17,433.935787
-0.002473,57,439.374484
0.150159,52,490.344727
0.089097,38,493.968096
0.096831,16,495.495046
0.091462,21,497.509079
-0.043296,25,499.895036
0.057933,23,502.091903
0.021381,72,508.969866
0.062132,15,510.395311
-0.189502,20,512.308047
-0.0175,15,513.742353
0.118802,24,516.029358
-0.03137,24,518.33623
-0.082603,9,519.194839
0.068689,24,521.491779
-0.083337,16,618.60029
-0.000116,35,621.8783
0.257933,41,625.777167
-0.106321,15,627.215067
-0.14138,16,628.740671
0.046608,17,630.366391
0.01127,24,632.644832
0.04408,20,681.021358
-0.079904,16,682.538837
0.248499,59,688.0702
-0.012108,23,690.22413
-0.070157,16,691.713356
0.122671,30,694.526593
0.207151,31,697.419488
-0.006283,10,698.354523
0.103961,33,701.447774
0.059721,12,702.569989
0.005387,16,704.074998
0.060676,15,705.497747
0.048644,12,706.62261
-0.03268,8,707.388648
0.012284,10,708.313747
0.078038,22,710.367986
0.062201,32,713.357646
0.400846,27,715.885665
0.011151,26,718.335948
0.039122,8,719.083579
0.038072,19,720.871037
0.34874,33,780.327801
0.240359,50,785.129333
0.135322,14,832.514778
0.28569,19,834.305001
0.274837,37,837.796352
0.678049,55,843.034274
0.044195,11,844.078515
0.113281,14,845.395186
0.088308,10,846.408089
0.029779,44,850.690106
0.030294,12,851.823752
0.236614,22,853.902713
-0.113094,16,855.423133
0.161015,18,857.121763
0.067296,26,859.568414
0.114797,24,861.837597
-0.115485,21,863.845725
-0.06157,11,864.936217
-0.059758,33,868.060285
0.070559,26,870.485223
0.287952,21,872.467078
0.031827,14,873.791009
0.291564,23,875.983327
0.099017,19,877.78968
0.232765,28,932.422501
0.140118,13,933.678189
0.074919,22,935.804093
0.057365,8,936.60336
0.136151,12,938.551936
0.192614,29,941.410864
0.051952,16,942.951389
0.219937,37,946.591746
0.145895,13,947.868134
0.134278,14,949.221232
0.053778,8,950.002622
0.096606,15,951.469902
0.099972,31,954.452542
0.078927,20,956.376251
0.007041,28,959.126459
0.163519,14,960.480417
0.099105,21,962.519024
0.177679,14,963.878568
0.095004,32,966.979664
0.220331,60,972.79535
0.168802,15,974.242934
0.19549,23,976.451433
0.11203,23,978.630255
0.200446,38,982.288152
0.177238,30,1034.09627
0.236952,33,1037.295155
0.036911,36,1040.765731
0.096363,15,1042.233612
0.469386,37,1045.80763
0.225615,19,1048.390107
0.192705,25,1050.820843
0.055898,9,1051.706015
0.077238,18,1053.430673
0.088092,18,1055.174076
-0.002168,8,1055.941818
0.037498,18,1057.693551
0.041376,8,1058.465456
0.04958,23,1060.688407
0.019943,12,1061.895392
0.042491,16,1063.459163
0.184238,21,1065.507441
0.016036,13,1066.776443
-0.199833,39,1070.568583
0.068435,13,1071.824339
0.094278,17,1073.47646
0.084796,17,1075.147709
0.11655,31,1078.169893
0.024347,22,1080.34716
0.122558,12,1081.508148
0.263627,30,1133.425982
0.209229,35,1136.920688
0.255494,22,1139.15197
0.392465,31,1142.21558
0.068828,20,1144.23752
0.104331,15,1145.667215
0.114112,18,1147.39197
0.437871,32,1150.58084
0.118155,13,1151.894017
-0.082372,10,1152.861549
0.246863,20,1154.804646
0.238794,34,1158.095244
0.109063,15,1160.193273
0.189385,21,1162.261093
0.072952,29,1165.127461
0.017841,8,1165.907346
-0.120411,24,1168.272833
0.219355,17,1169.94732
0.095254,17,1171.588937
0.232851,31,1174.55618
0.498241,34,1177.820482
0.010335,10,1178.776577
0.209445,18,1180.495105
0.231856,22,1235.32796
0.046111,14,1236.707221
0.298686,18,1238.524403
0.060513,11,1239.609751
0.124403,11,1240.676133
0.168259,19,1242.520356
0.270983,22,1244.657321
0.109766,30,1247.588817
0.380313,23,1249.831194
0.354723,22,1251.972422
0.018869,8,1252.758702
0.742744,48,1257.359452
0.4122,26,1259.864245
0.073012,8,1260.640741
0.178484,19,1262.487538
0.150289,25,1265.000232
0.1801,14,1266.399117
0.442263,30,1269.421544
0.056954,12,1270.600898
0.289002,25,1273.940839
0.256434,19,1275.806744
0.554646,34,1279.193358
0.060813,11,1280.290599
0.372689,21,1282.346279
0.13833,13,1283.681177
0.128706,24,1335.300152
0.162583,14,1336.670656
0.032946,10,1337.643212
0.840053,46,1342.119072
0.046613,14,1343.4777
-0.018382,15,1344.944147
0.255468,26,1347.489727
0.317477,34,1350.809966
0.412013,27,1353.442928
0.12707,17,1355.091471
0.777826,80,1362.931633
-0.050971,26,1365.457224
0.259071,17,1367.107508
0.035308,30,1370.054095
0.111483,15,1371.499963
-0.015544,8,1372.272547
0.356061,24,1374.601695
0.269025,18,1376.343802
0.238972,31,1379.345149
0.243722,19,1381.183932
0.212281,50,1537.773821
0.145482,15,1539.275856
0.354332,24,1541.62662
0.125665,22,1543.767804
0.065494,15,1545.289329
0.069547,21,1547.401835
0.355391,26,1549.993367
0.386387,49,1554.82277
0.157936,27,1557.435687
0.049801,11,1558.525608
0.076054,27,1561.138541
0.149476,23,1563.360411
0.151294,27,1565.973465
0.245589,19,1567.81162
0.470819,26,1570.346238
0.121873,15,1571.812404
0.20951,16,1573.400036
0.225104,26,1575.99156
0.096581,10,1577.00285
0.344772,22,1579.162889
0.25809,17,1580.808475
0.253326,40,1584.683714
0.360431,58,1639.160749
0.371361,28,1642.049014
0.250174,25,1644.514708
0.13643,11,1645.578272
0.264936,29,1749.460853
0.556923,34,1752.832539
0.350661,46,1757.536373
0.149498,14,1758.908062
0.58831,36,1762.489071
0.218545,20,1764.450006
1.237372,80,1772.386301
0.108497,19,1774.262735
0.265562,16,1775.881441
0.849489,58,1781.718393
0.290469,38,1785.52175
0.114074,19,1787.393476
0.385936,22,1844.675058
0.061251,21,1846.789953
0.500798,54,1852.519065
0.066914,50,1857.731863
0.503702,31,1860.950808
0.72659,57,1973.007889
0.47369,32,1976.298965
0.467612,25,1978.831113
0.334498,19,1980.762524
0.252415,42,1985.018226
0.035796,10,1986.03049
0.185541,17,1987.76182
0.168976,18,1989.594061
0.245866,33,1992.947879
0.224922,18,1994.798537
0.322418,33,1998.190316
0.077204,9,1999.104784
0.209334,23,2053.392298
0.732205,63,2059.587293
0.333222,26,2062.192433
0.234121,25,2064.73803
0.255792,36,2068.289312
0.549222,49,2073.14286
0.594191,44,2077.505231
0.233964,15,2078.972946
0.444674,23,2081.267831
0.267358,20,2083.371812
0.283641,25,2085.891911
0.404238,48,2168.842807
0.333719,20,2170.820801
0.457402,27,2173.553108
0.041189,9,2174.443564
0.323509,20,2176.408262
0.227327,18,2178.166919
0.436657,31,2181.260603
0.302142,29,2232.856198
0.314396,23,2235.090107
0.522994,25,2237.57598
0.226312,21,2239.6594
0.200809,19,2241.490854
