#{"t_start": 1634806412.2125237, "env_id": "A1GymEnv-v0"}
r,l,t
-0.120415,12,7.584593
0.221151,50,12.32357
0.091202,16,13.844431
-0.174786,15,15.274771
-0.088527,17,16.894571
-0.144364,19,18.692209
-0.131561,18,20.411372
-0.035912,9,21.260019
-0.094563,23,23.454553
-0.305105,28,26.102031
-0.185068,18,27.8162
-0.083404,14,29.130083
0.054997,24,31.407693
-0.168717,18,33.126396
-0.031224,18,34.831447
-0.088774,8,35.58985
-0.190001,20,37.494041
-0.073133,11,38.568092
-0.156412,32,41.610471
-0.259106,24,43.903087
-0.040204,26,46.37657
-0.055049,12,47.516291
0.115131,31,50.473539
-0.065009,16,51.988873
-0.089236,17,53.604629
-0.065791,47,105.323947
0.165702,31,108.292289
-0.05269,20,110.234653
-0.131513,27,112.828589
-0.088317,27,213.165325
0.163591,46,217.464225
-0.109261,19,219.241029
-0.206358,21,221.196397
0.400309,54,226.218375
-0.295878,47,230.65668
-0.030036,16,232.152814
-0.243361,21,234.137808
-0.074875,32,237.143836
-0.15331,20,239.009148
0.077232,18,240.68975
0.06092,31,243.569045
-0.047565,35,246.815218
-0.033107,13,248.02131
0.021302,8,296.951272
0.068361,29,299.72613
0.098128,14,301.05856
-0.043996,19,302.859965
0.014436,29,305.629544
-0.092999,42,309.657766
-0.06214,16,311.182242
0.12044,16,312.701136
-0.003891,10,313.654955
0.105864,12,314.800698
-0.079396,11,315.85541
0.102372,14,317.202944
0.213282,31,418.625868
-0.011875,15,420.05729
-0.139319,39,423.795563
-0.201966,19,425.610643
0.167078,41,429.513148
-0.000202,12,430.65731
-0.031176,13,431.901694
-0.188435,30,434.755615
0.097286,16,436.285822
-0.033886,24,438.571051
-0.125227,17,440.20479
-0.026326,18,441.936583
-0.249874,29,490.688739
0.103502,33,493.83528
-0.040363,19,495.649079
0.011289,19,497.469499
0.167572,18,499.18635
0.662979,47,503.688577
-0.059136,27,506.25905
0.041081,15,507.690795
0.100976,11,508.740957
0.254225,28,511.41188
-0.016335,30,514.266615
0.0394,31,517.240891
-0.137913,18,518.959072
0.007515,11,520.012975
0.130016,16,521.549565
-0.045817,9,618.00363
