#{"t_start": 1636082599.0078068, "env_id": "A1GymEnv-v0"}
r,l,t
-0.105539,15,6.661876
-0.135513,36,15.591059
-0.189781,22,20.637542
-0.094731,15,24.086329
-0.20312,17,27.965051
-0.108749,59,41.532464
-0.080344,16,45.16135
0.112787,31,52.171665
-0.117136,36,61.089817
0.15231,59,75.732194
-0.219003,28,83.046532
-0.12671,18,88.454559
0.085924,45,99.891417
-0.083412,31,107.027433
-0.027483,16,111.435297
0.024482,27,120.124207
-0.468467,68,149.914443
-0.266664,65,166.294405
-0.055511,29,249.085329
-0.295162,56,262.21386
-0.300855,51,275.64261
-0.029525,20,280.432185
-0.228518,50,293.521397
-0.055917,31,302.001702
0.082142,59,316.228085
0.021618,23,321.669069
0.094881,18,326.14294
-0.005585,45,337.97187
-0.14383,23,343.638215
0.097693,32,373.388351
-0.090532,30,383.12179
-0.14489,19,387.839745
-0.151197,50,399.823201
-0.051822,29,406.611364
0.259259,27,412.848419
-0.101544,61,511.698462
-0.047699,15,515.582165
0.086948,18,520.219398
-0.060452,94,544.524197
0.217878,44,554.854009
-0.008343,13,557.891212
-0.034424,24,564.517203
0.163102,24,571.260306
-0.122388,26,577.319478
0.116416,18,581.734689
0.176447,25,600.940306
0.038141,33,609.100809
0.008469,21,614.109293
-0.056683,17,618.085605
0.03119,19,622.638666
0.163348,38,632.717629
0.177422,30,641.110674
0.035809,18,645.502918
-0.110849,27,652.190439
-0.178532,42,662.52966
0.081216,18,667.042795
0.215317,22,672.176319
-0.036167,30,679.61093
0.215803,29,760.016089
0.047561,13,763.236286
-0.013859,13,766.426304
0.028078,19,771.129329
-0.154984,37,780.242068
0.139086,32,788.087764
0.188814,19,793.098958
0.079249,23,817.052571
0.420405,63,835.434416
-0.057614,19,840.155097
0.076409,23,846.401999
0.01186,14,849.681166
-0.017813,19,854.366919
0.092835,22,863.405237
0.108855,24,870.774616
0.210865,28,877.614858
0.076326,16,883.098447
-0.090048,28,891.45543
0.197032,31,900.195404
-0.149762,50,913.004066
0.117573,19,917.753742
-0.041195,22,924.946781
0.002926,18,934.319654
0.095704,13,938.806351
-0.051562,16,943.345128
0.144917,16,948.219715
-0.047622,42,960.839319
0.107842,15,964.704474
0.043176,15,982.80052
