#{"t_start": 1636082597.4768102, "env_id": "A1GymEnv-v0"}
r,l,t
-0.127695,13,7.4069
0.069739,18,12.387132
-0.193002,13,15.431584
-0.318341,40,24.634043
-0.047916,38,33.300755
-0.603559,79,51.340721
-0.025158,13,54.327169
-0.37672,37,63.772023
-0.04655,20,68.801484
0.095992,37,77.721691
-0.096941,9,80.021303
0.109307,83,102.061305
-0.072685,20,106.653071
0.108965,34,116.210706
-0.537577,58,131.429351
-0.152451,38,154.322973
-0.307413,38,163.823273
-0.003218,17,168.018771
-0.209229,34,251.952528
0.348572,44,262.149321
-0.092433,27,268.757593
-0.192294,33,277.879467
-0.118532,48,289.938006
-0.007238,54,304.585003
-0.051738,25,310.669747
-0.38134,65,326.019874
-0.100597,47,338.286518
-0.07187,84,383.352134
-0.219642,34,391.67965
-0.237137,23,397.120465
-0.079181,32,404.936375
0.343363,46,415.481139
0.035445,31,422.696394
0.166002,44,518.029699
-0.039065,65,533.827513
0.226421,40,545.204781
0.272122,34,553.323128
-0.068293,15,556.799031
0.049005,20,561.663697
0.341619,37,572.209405
0.11093,27,578.553577
0.048045,44,602.413634
0.140585,22,607.857116
0.303447,37,616.782012
-0.259587,53,629.426946
0.119745,23,636.9063
-0.069855,26,643.313321
-0.745324,47,654.867856
0.307163,36,663.775136
0.238421,43,674.135823
0.246686,34,755.886708
0.295247,45,766.935393
0.068627,15,770.614519
-0.06054,36,779.573565
-0.050522,18,783.86299
0.148952,36,792.642435
-0.065869,24,817.313726
-0.075259,35,826.003569
0.1419,21,833.247475
0.072912,38,843.346595
0.311684,26,850.166007
0.067467,15,853.813102
0.002739,19,859.261494
0.103383,33,871.779064
0.107021,21,876.727082
0.113162,28,885.977077
-0.022571,24,892.550147
0.314845,33,901.995528
0.198429,24,908.077812
0.080052,27,914.929212
0.278904,38,925.98965
0.055482,22,937.457726
0.169271,21,943.357636
0.027214,47,957.999544
-0.326151,55,986.839523
0.206039,16,991.151327
0.025014,17,995.779644
0.050992,14,999.832655
0.033345,18,1004.608093
0.205618,29,1012.473723
0.106055,22,1018.08289
0.301111,50,1031.56448
0.202828,19,1036.280659
0.017521,35,1045.697551
0.05553,16,1050.230696
0.283002,39,1061.214972
-0.088884,35,1071.922378
0.212127,21,1079.990527
0.157955,14,1083.913815
0.067696,27,1092.082452
-0.12111,37,1102.282347
0.11026,19,1109.660688
0.160833,17,1114.191797
-0.493437,43,1126.730306
0.221091,35,1150.855294
0.025993,18,1156.041632
0.033781,34,1167.17958
0.178238,17,1171.573494
