#{"t_start": 1636082595.45249, "env_id": "A1GymEnv-v0"}
r,l,t
-0.211185,19,11.141569
0.10776,39,20.604428
-0.142398,14,23.818411
-0.065267,30,30.713071
0.007345,17,34.542436
0.038121,30,41.413103
-0.173255,24,46.985093
0.078481,24,52.363037
-0.229296,35,60.444391
-0.20736,25,67.271755
-0.191966,44,77.807677
-0.047698,20,83.056518
-0.166013,44,95.479027
-0.22905,35,103.995492
0.048126,20,108.590691
-0.272331,35,118.399391
0.039786,43,130.23466
-0.145217,18,148.031194
-0.121491,26,154.038774
-0.298849,53,167.453609
-0.032037,43,253.664017
-0.212693,42,263.398691
-0.078159,26,269.664039
0.066557,36,279.568579
-0.043124,20,284.321853
-0.328465,50,297.466838
0.16992,35,306.995817
0.136246,21,312.103031
-0.087684,47,323.176841
-0.056202,24,328.91857
-0.365318,40,339.372649
-0.026314,22,345.234046
0.023338,11,347.733294
0.103392,41,381.695053
-0.319626,34,390.553369
0.226298,101,414.390546
0.096335,17,418.331924
-0.045403,43,428.414142
-0.041853,25,519.238661
-0.461614,47,530.87881
0.089658,30,537.945876
0.099369,52,552.235177
0.022535,20,556.876769
0.18407,25,562.851557
-0.019137,29,570.514248
0.10001,68,601.118126
0.000142,12,603.850482
0.00277,25,610.040782
0.032681,16,613.912962
0.062314,19,618.483744
0.542819,70,636.002817
-0.130626,51,649.60359
-0.054991,20,654.680515
0.014128,12,657.499923
-0.034391,49,669.752825
0.395935,39,678.987226
-0.018518,20,757.349521
0.131405,15,760.907535
0.044877,40,770.806648
-0.092483,14,774.24116
0.202727,19,778.97056
-0.209328,16,782.940062
-0.104358,31,790.539456
0.161666,26,797.539325
0.129802,33,823.766155
-0.045313,23,829.345417
-0.031784,24,838.030136
-0.020173,12,840.979754
-0.057707,19,845.786644
0.011898,20,851.198978
0.261226,16,855.016646
0.12735,19,860.079106
0.258783,25,870.152447
0.068672,11,873.715525
0.175502,23,879.157968
0.185944,20,885.618762
0.042209,13,889.9927
-0.004472,25,896.766274
-0.017991,18,901.935816
0.027159,15,906.359066
0.11561,18,910.488819
0.19518,28,917.570323
0.016033,12,920.442819
0.040723,14,925.788463
0.182822,26,936.192153
0.111175,19,943.387807
0.291375,21,949.567298
0.120657,21,956.884872
0.010257,15,960.709311
0.164238,37,984.598153
0.208282,20,990.184765
0.066901,32,998.828849
0.016288,23,1005.236459
0.052483,12,1008.653844
0.024726,19,1013.672287
0.224781,21,1018.955718
0.064826,19,1024.47303
0.04643,10,1027.124192
-0.078223,16,1031.34826
0.211779,53,1045.14604
0.213293,15,1048.793864
0.110229,28,1056.830537
0.098046,13,1060.752464
0.228184,34,1070.58468
0.019593,16,1075.379869
0.158962,18,1082.662142
0.136543,20,1088.082038
0.203676,18,1094.013958
0.132424,26,1100.799185
0.121909,18,1107.556495
-0.020599,29,1116.113986
0.104185,15,1121.16199
-0.02764,13,1124.916119
0.105337,38,1149.979018
0.128938,18,1154.172177
-0.040731,20,1162.130679
0.148432,36,1171.722583
0.192232,16,1176.423652
0.123353,19,1181.571526
0.103256,30,1196.548319
0.250342,26,1208.94617
-0.138506,50,1223.322043
0.156447,19,1227.68529
0.177452,18,1233.598028
-0.129566,25,1250.071659
0.258152,45,1269.074221
0.107945,16,1274.308379
0.156893,14,1277.397196
0.020292,17,1283.458381
0.065979,25,1290.356663
0.072521,18,1295.22195
0.069121,64,1310.51908
0.149117,18,1332.560428
0.123958,16,1336.45846
0.151796,24,1342.827002
0.271645,19,1347.119536
0.016749,13,1350.372604
-0.085845,15,1353.829484
0.108071,14,1356.989431
0.319163,23,1362.284173
0.072335,20,1366.901609
0.386501,29,1374.744979
-0.021977,23,1381.784029
0.127082,29,1389.87883
0.341812,28,1396.284046
0.169174,22,1401.802903
0.111712,32,1409.219694
0.080339,14,1413.761901
0.067243,14,1417.453438
0.103886,13,1421.017225
0.279384,23,1427.919401
0.428963,38,1437.477575
0.151846,16,1441.883974
0.469865,45,1455.82787
0.193158,23,1463.913986
0.147944,18,1468.473931
0.148491,16,1488.148009
0.069218,14,1492.155968
0.158613,17,1495.988654
0.093136,13,1498.887911
0.155822,34,1506.795933
0.329625,20,1511.200433
-0.035051,17,1515.01634
0.12403,13,1518.897825
0.138261,22,1524.756954
0.080221,14,1528.224162
0.090102,16,1532.453066
0.246362,22,1538.13577
0.335578,28,1545.456314
0.459939,33,1554.17787
0.2126,21,1560.707326
0.140569,12,1563.507678
0.158284,25,1569.318261
0.176267,15,1572.554397
0.167837,18,1576.536006
0.021317,9,1578.585305
0.151548,14,1581.685791
0.352806,47,1591.857861
0.2302,33,1599.062396
-0.015565,53,1622.668337
0.193309,15,1625.932194
0.136797,16,1629.448185
-0.037194,13,1632.334445
0.043824,26,1637.990114
0.18649,39,1646.563176
-0.028881,12,1649.20783
0.172169,20,1653.56963
0.18051,19,1657.700727
0.261798,17,1661.428198
0.219213,14,1664.499449
0.20775,16,1668.061522
0.236924,23,1673.080684
0.155636,16,1676.5891
0.176038,17,1680.470485
0.566382,51,1706.768353
0.109754,19,1712.804476
0.075768,13,1716.945823
-0.009175,10,1720.089008
0.047578,31,1738.185272
0.199732,21,1745.046458
0.438669,25,1751.8015
0.154389,19,1757.083709
0.136699,18,1761.405197
0.330743,34,1782.776608
0.207967,20,1787.795501
0.154197,15,1791.726642
0.1226,24,1797.300804
0.175185,25,1804.74123
0.103977,13,1808.447047
0.130253,17,1812.320662
0.325638,31,1819.70993
0.199367,24,1825.418462
0.122224,13,1828.384383
0.131924,25,1834.838108
0.158673,16,1841.552352
0.126634,18,1845.968225
0.23017,33,1856.741542
0.276611,19,1862.641564
0.235003,15,1866.211367
0.225376,15,1870.32325
0.281396,25,1880.453286
0.262715,22,1885.550812
0.14449,35,1894.092108
0.169878,17,1898.129464
0.169127,32,1905.935202
0.216436,21,1910.645442
0.266038,22,1916.035426
0.29079,20,1936.131494
0.073055,13,1939.146718
0.167987,26,1946.08178
0.175739,18,1950.5265
0.393973,23,1957.403316
0.303732,18,1961.784175
0.100759,24,1969.237987
0.090696,13,1972.331566
0.202939,17,1976.230243
0.228417,15,1980.2302
0.020485,21,1986.207053
0.026885,17,1991.008158
0.243439,18,1995.68749
0.274655,19,2000.944439
0.145436,16,2004.494521
0.188124,20,2008.968046
0.35695,24,2016.172423
0.273077,17,2020.677284
0.074726,14,2024.364363
0.312147,23,2030.765611
0.428409,27,2037.03715
0.078334,32,2044.676668
-0.013006,19,2049.335374
-0.050259,24,2055.585896
0.20295,26,2061.561278
0.245699,21,2078.703655
0.477727,28,2085.661423
0.208098,36,2094.985636
0.478902,32,2103.852605
0.096414,20,2110.732096
0.224088,17,2114.581351
0.131962,19,2118.944162
-0.004033,16,2122.524879
0.144671,13,2125.859855
0.218833,28,2133.599334
0.060627,11,2136.354848
0.055018,11,2138.870366
0.110057,22,2144.806714
0.092174,23,2152.258945
0.207358,19,2157.15843
-0.361105,62,2174.812326
0.171476,15,2178.669933
0.144313,25,2184.499381
0.213933,28,2191.440231
0.2094,25,2198.195978
0.143822,25,2203.937713
0.308644,21,2211.641708
0.429531,35,2231.822678
0.116707,13,2235.087743
0.079739,17,2243.058188
0.197662,33,2257.964026
0.148213,15,2261.376028
0.209547,21,2266.38793
0.24967,18,2271.625834
0.092454,14,2275.011806
0.118974,14,2278.406309
0.203267,34,2286.5382
0.17327,12,2289.386881
0.191057,13,2293.653032
0.266559,28,2299.715801
0.271679,19,2303.865753
0.156381,13,2306.693696
0.271908,25,2312.150057
0.230011,17,2315.838257
0.226779,29,2322.115528
0.313962,33,2329.312658
0.195586,15,2332.534337
0.203039,16,2335.979714
0.075838,40,2344.617082
0.141896,17,2348.290889
0.142455,16,2351.777263
0.004648,12,2354.384071
0.334606,43,2375.836157
-0.130159,15,2379.047045
0.354002,24,2384.223568
0.282832,20,2388.64798
0.105125,13,2391.449441
0.471996,26,2397.120279
0.319361,35,2404.587189
0.167426,17,2408.253016
0.320748,19,2412.338568
0.192935,17,2416.018464
0.123858,22,2420.773011
0.083781,17,2424.416698
0.348139,25,2429.797439
0.221753,26,2435.400085
0.27677,17,2439.17816
0.344336,34,2448.645972
0.382038,32,2456.194852
0.387031,27,2462.21654
0.242461,19,2466.535612
0.156925,12,2469.184869
0.113746,15,2472.497579
0.089857,15,2475.795887
0.147318,40,2497.09897
0.302069,26,2503.139496
0.126012,27,2509.304847
0.255589,18,2513.594855
0.311916,28,2519.854599
0.085773,16,2523.406856
0.372977,25,2528.921069
0.393337,24,2535.817219
0.434516,30,2547.136789
0.31228,18,2551.065695
0.317798,19,2555.197426
0.644041,61,2568.655091
-0.010354,22,2573.641569
0.286212,24,2579.047126
0.268684,17,2582.876378
0.250374,16,2586.33809
0.102984,18,2590.242441
0.151311,13,2593.066692
0.339164,24,2598.280523
0.429919,31,2606.698581
0.733082,57,2631.416247
0.378519,29,2638.522176
0.298939,23,2643.64695
0.1625,17,2647.49267
-0.118273,37,2660.365871
0.092195,13,2664.310758
0.060644,15,2667.595668
0.303582,36,2675.498721
0.124291,17,2679.177468
0.077121,15,2682.417761
0.257262,32,2689.542538
0.210247,18,2693.423402
0.410592,22,2698.177063
0.353596,21,2702.735903
0.310764,22,2707.648002
0.214011,21,2712.162676
0.197186,17,2715.905175
0.275662,28,2722.026373
0.176392,23,2727.009779
0.139319,17,2730.729785
0.19019,29,2736.983551
0.343771,22,2741.786284
0.261845,21,2746.463798
0.211455,18,2762.426646
0.447234,49,2789.393595
0.265723,28,2795.570912
0.655022,42,2804.75167
0.492638,32,2811.84565
0.265101,18,2815.738474
0.442381,25,2821.197183
0.493431,27,2827.101159
0.193731,18,2830.993991
0.238132,17,2834.768123
0.10425,13,2837.640795
0.13758,16,2841.144063
0.455589,33,2848.317699
0.402149,43,2857.759778
0.308248,26,2863.483116
0.186764,25,2869.059642
0.472069,70,2885.811787
0.363035,26,2906.429654
0.129756,41,2915.136805
0.04664,15,2918.31558
0.25892,17,2921.894582
0.622165,48,2932.242397
0.309007,22,2936.902456
0.457929,22,2947.538264
0.441309,34,2954.685579
0.29418,22,2960.849037
0.372607,38,2968.896433
