#{"t_start": 1633928925.4814422, "env_id": "A1GymEnv-v0"}
r,l,t
-0.077823,91,15.388517
-0.209679,124,20.558633
-0.05766,31,21.818974
-0.086909,60,24.28843
-0.11065,75,27.363587
-0.113672,139,82.118536
-0.076732,237,151.900724
-0.036342,68,154.810329
-0.131126,155,161.23318
0.022195,78,217.312839
-0.028421,232,288.022026
-0.09404,190,296.005796
-0.07802,161,353.045455
-0.010865,158,359.60109
-0.052665,141,420.718768
-0.065727,91,424.453669
0.07901,111,482.065068
0.167709,150,488.290573
-0.029615,143,494.025867
0.029339,277,573.929162
-0.045018,112,578.653797
-0.055939,179,586.130607
-0.169843,536,705.063163
0.019749,88,760.919909
0.131736,211,799.324169
0.171984,396,868.133954
0.409489,246,885.492687
0.083315,123,890.424585
0.164247,192,952.355798
0.247622,223,963.944649
0.250499,207,1026.319481
0.147781,110,1030.957949
0.251243,436,1106.289867
0.133597,99,1110.434428
0.19643,223,1120.078687
0.098058,93,1174.643347
-0.128875,688,1257.966263
0.319437,313,1330.177202
0.303155,170,1337.244016
0.00509,137,1342.911305
0.239911,146,1351.639635
0.454158,279,1415.192993
0.220343,146,1421.282901
0.207242,170,1483.937497
0.138507,203,1492.376653
0.137711,148,1498.565912
0.023299,311,1567.655825
0.320539,287,1579.603973
0.178018,88,1634.512768
0.245585,262,1647.941353
0.191588,143,1653.866809
0.222339,111,1708.492066
0.058689,94,1712.361504
0.249653,118,1716.922003
0.531348,417,1798.078532
0.236898,128,1803.28194
0.557455,279,1922.951578
0.159628,111,1927.511903
0.23705,141,1933.32624
0.207647,86,1936.866329
0.162477,150,1997.912007
0.191482,147,2004.314647
0.526058,390,2071.401554
0.135182,81,2077.295533
0.171444,116,2082.025816
0.170358,115,2086.688023
0.211289,88,2090.278992
0.260757,135,2145.259498
-0.1305,175,2155.057971
0.236593,105,2159.301521
0.502536,288,2221.946518
0.192321,66,2224.637537
0.134574,72,2227.577776
0.317334,232,2291.848415
0.207883,92,2295.617
0.678061,339,2312.300065
1.065538,738,2459.725039
0.172974,82,2463.111186
0.258286,101,2467.241456
1.395042,640,2555.973695
0.243533,106,2609.222578
1.088002,624,2723.511171
0.456895,358,2802.071866
0.193608,135,2807.567857
0.416939,164,2814.3375
0.171187,59,2816.761878
0.24166,104,2821.047272
0.375361,270,2897.189848
0.87887,316,2960.331918
0.56028,168,2986.274631
0.37778,271,2997.391991
1.454322,542,3084.037693
0.099129,67,3134.141566
0.341248,125,3139.261132
1.809136,644,3243.743809
0.298463,111,3270.381417
0.36,165,3324.090023
0.445004,245,3333.930899
0.365114,131,3339.020998
1.033387,361,3411.334095
0.745185,314,3472.414551
0.921055,301,3499.216541
0.465049,175,3920.25901
0.841842,425,3945.621994
1.498156,484,4021.981661
2.135595,1058,4185.286012
0.463445,164,4259.151613
4.002213,1368,4492.995141
0.634407,176,4549.959107
0.459115,170,4556.836679
0.781676,232,4654.407545
0.399248,199,4662.618238
1.490479,501,4787.06349
5.385437,1660,5128.525123
1.083649,441,5194.906468
1.133436,429,5293.81996
0.453241,108,5298.292747
3.703962,1283,5553.102069
1.136468,372,5585.241625
0.415635,133,5639.160733
0.234794,81,5642.43851
8.307104,1742,5903.445953
2.858558,623,5994.54713
2.345819,549,6100.388107
0.936218,259,6162.63
1.088054,206,6171.06121
9.381565,2000,6750.947794
1.387346,285,6817.935171
2.480161,496,6952.178389
4.650259,1021,7224.0438
2.943276,580,7298.857618
15.390874,2000,7857.138903
5.686646,992,8064.685604
2.289332,414,8193.231564
6.162388,930,8345.623656
18.523516,2000,8920.530445
20.04023,2000,9389.056712
2.243403,333,9455.68715
3.318176,475,9589.134447
6.444469,700,9717.841479
12.397458,1423,10089.061444
5.833573,711,10227.712893
12.320065,1393,10535.505223
21.106374,2000,10985.111314
21.807926,2000,11425.29287
0.069855,35,11426.72028
23.776676,2000,11891.753416
2.570608,299,11903.927737
11.571203,1043,12146.818254
23.197437,2000,12557.264522
25.781256,2000,12964.713435
16.007229,1347,13258.835171
25.109775,2000,13669.696831
13.23094,1074,13925.565436
9.402269,970,14192.686291
7.501414,719,14322.972448
26.836939,2000,14721.03459
28.132541,2000,15123.667059
28.383481,2000,15543.105577
3.344174,278,15588.879224
27.705234,2000,15994.531332
7.153365,547,16112.824116
16.946835,1284,16395.128488
10.491093,794,16561.837798
26.81501,2000,16938.008246
28.214942,2000,17278.032825
0.31564,93,17333.419967
9.86409,731,17426.769958
28.731534,2000,17781.022502
20.716633,1395,18023.430835
3.40213,287,18056.506431
26.284925,2000,18408.596842
12.030564,1003,18576.521446
28.797325,2000,18914.106957
10.787194,865,19070.916062
29.2131,1923,19346.563687
26.529133,1802,19665.786242
9.990811,693,19764.706737
30.214714,2000,20095.226333
1.638137,174,20101.912806
27.43187,1912,20420.30302
23.10187,1540,20663.020355
10.497359,758,20826.052203
12.917749,887,20924.23463
7.563786,554,21010.133924
27.653422,2000,21361.72677
12.472577,886,21526.067198
17.973923,1275,21762.6699
16.48281,1097,21925.226078
9.75425,706,22022.553801
24.159235,1623,22288.647619
3.982767,336,22370.817963
19.258051,1319,22625.421484
21.67254,1437,22849.438207
29.211784,2000,23193.616117
26.347356,1697,23543.329761
12.909633,918,23647.82109
29.26242,2000,24028.956708
3.778439,282,24090.236032
4.934668,420,24182.813419
6.918786,559,24270.554728
