#{"t_start": 1633928928.0101693, "env_id": "A1GymEnv-v0"}
r,l,t
0.050521,212,17.928384
-0.230333,309,79.654854
-0.099543,88,83.272678
-0.145004,139,148.983485
-0.115543,165,155.965118
-0.147414,136,214.417507
-0.109503,117,219.345042
-0.046914,119,285.305894
0.091661,255,346.38118
0.082834,269,357.506761
-0.089747,73,415.813611
0.02369,353,483.446852
0.106603,135,488.920011
0.005333,38,490.404074
0.000771,205,567.340869
-0.024228,56,569.67206
-0.258126,328,583.373496
-0.003832,332,693.833482
0.075215,135,699.436759
-0.029367,83,702.883759
-0.0158,62,757.66543
0.051441,166,794.10042
-0.053795,111,798.893335
0.078638,82,802.370244
0.021189,44,804.204139
0.032424,334,870.31062
0.06372,233,886.965407
0.143504,164,947.67244
0.09939,171,954.967112
0.183752,159,963.757725
0.126853,120,1022.38585
-0.0096,180,1030.137742
0.137083,248,1040.764378
0.089711,473,1117.615364
-0.074882,126,1173.589442
0.088705,57,1179.349474
0.020017,58,1181.770793
0.143178,83,1185.219296
0.03741,76,1188.437095
0.406734,335,1253.637235
0.102412,133,1264.141948
0.111422,157,1270.765565
0.06591,69,1327.715692
0.173006,138,1333.45499
0.115823,148,1339.574361
0.235983,184,1349.879701
0.079208,81,1405.15715
0.333533,160,1411.84519
0.162914,231,1424.279476
0.184849,126,1482.294766
0.431693,321,1495.678298
0.108031,90,1499.456928
0.058016,64,1555.351805
0.084513,46,1560.130368
0.106878,143,1566.103001
0.11667,61,1568.642261
0.234485,1105,1732.467164
0.099501,108,1736.907178
0.319397,129,1791.747899
0.323963,260,1802.306885
0.1849,137,1864.880991
0.29599,206,1924.641567
0.304027,234,1934.277086
0.168381,118,1993.945431
0.91535,490,2014.664537
0.526337,267,2079.071213
0.162534,97,2083.013883
0.132657,167,2139.250905
0.263428,113,2143.899484
0.440289,160,2153.074629
0.316483,136,2158.575987
0.241379,135,2215.011938
0.297282,159,2221.474446
0.355338,284,2238.592673
0.141872,63,2290.446508
0.748047,448,2311.597047
0.590651,481,2381.751616
0.685666,275,2459.781954
0.201022,134,2465.26376
1.160999,621,2553.219109
0.415161,147,2608.145323
0.388475,129,2613.431867
0.661425,248,2661.416972
0.042026,70,2715.147838
0.847284,558,2801.923156
0.215284,92,2805.682916
0.416347,200,2813.923043
0.460781,201,2887.211165
0.537318,257,2897.818617
0.421683,160,2904.388357
0.703328,301,2985.952123
0.384889,178,2993.253249
0.149073,95,3047.560277
0.753839,327,3075.012752
0.595966,215,3131.143831
0.120089,57,3133.478504
0.560943,242,3170.959229
0.26644,131,3176.095185
1.497741,554,3318.602262
1.62301,612,3400.788372
0.569806,228,3410.042028
0.425082,183,3465.725777
2.716214,1174,4000.355259
1.636388,626,4087.985837
0.780918,345,4166.549565
0.150361,61,4169.030316
1.432955,563,4259.142224
0.307475,169,4266.104508
1.423477,475,4388.01619
2.153153,774,4544.834992
0.373102,221,4553.765252
0.404001,183,4603.436545
3.388414,1212,4889.870423
1.685296,507,4959.592631
0.902262,264,5015.096658
0.278135,104,5064.45579
0.563805,148,5070.217054
0.73041,259,5128.937509
1.482268,443,5195.401676
1.262515,416,5293.787955
1.389304,315,5397.110118
1.135577,422,5414.482618
0.999297,290,5491.294808
0.449701,261,5548.909173
5.082743,1341,5746.66862
2.211237,582,5828.400631
0.955164,271,5894.047992
2.445698,705,5988.148939
1.139087,324,6050.324783
0.559841,178,6092.062297
12.215782,2000,6608.91617
3.740612,969,6818.787116
13.568433,2000,7295.482254
0.458207,99,7355.905314
13.493966,1721,7724.72289
12.942077,1558,8188.724694
3.162379,628,8327.736954
1.795447,343,8342.815741
20.32504,1943,8915.366318
18.328223,1729,9314.301222
3.984485,573,9449.237408
4.349426,584,9587.20369
0.221619,69,9590.028283
1.515368,217,9648.787042
2.940103,489,9718.913543
23.044144,2000,10223.363186
7.62499,991,10412.78623
22.408733,2000,10855.12647
20.592489,1807,11297.824529
4.967886,562,11419.607116
8.589231,947,11647.835676
8.752104,910,11780.827043
0.276575,82,11834.264572
20.455487,1747,12204.654804
0.346056,98,12208.632218
24.835126,2000,12617.377426
7.800801,762,12830.825605
22.43959,1697,13131.069
25.198851,2000,13590.404502
1.212638,198,13598.668582
24.695301,2000,14059.788521
0.326722,77,14063.507219
17.82325,1350,14384.467843
17.185237,1257,14604.890674
27.821589,2000,15048.093936
3.073961,297,15115.156761
18.416295,1278,15353.080718
27.622833,2000,15772.271493
23.650169,1627,16107.668526
4.018323,324,16176.84645
21.568714,1595,16497.725577
28.645951,1970,16896.416365
27.991548,2000,17250.639359
28.59952,2000,17591.04654
28.783608,2000,17951.741401
26.97044,2000,18292.783403
29.2079,2000,18583.601925
22.630126,1576,18904.115804
29.208272,2000,19195.895764
16.608688,1145,19411.719437
17.903807,1208,19595.599505
0.123489,58,19597.840574
18.735029,1219,19831.212305
0.163033,66,19833.760644
20.207681,1331,20013.159115
0.17136,71,20016.003286
15.746195,1040,20184.459082
5.111166,447,20252.053693
26.938752,1795,20565.096131
28.717207,1808,20837.189256
27.951466,1843,21150.448564
18.709115,1216,21357.339877
1.115698,194,21414.704028
27.795729,2000,21759.62592
16.507632,1141,21923.967141
27.581975,2000,22274.419404
26.115011,1778,22530.14322
18.227487,1221,22807.636007
24.851555,1697,23091.668988
28.023465,1994,23454.742681
30.456692,2000,23810.641739
26.312241,2000,24179.598287
