#{"t_start": 1633928925.337536, "env_id": "A1GymEnv-v0"}
r,l,t
-0.255165,379,27.422633
-0.164748,142,82.302272
-0.184243,180,149.621279
-0.034156,125,154.992575
-0.246828,283,219.640707
0.006742,286,292.575993
-0.198177,197,351.162128
-0.039042,96,355.144422
-0.005764,79,358.438594
-0.123023,144,419.660322
0.014845,107,424.059356
-0.023221,51,479.294372
0.189618,411,496.058559
-0.073626,120,569.443652
0.030247,142,575.310711
0.104553,149,581.585981
0.127465,241,688.231005
0.120534,112,692.907465
0.101318,106,697.350816
0.109215,136,703.005595
-0.076818,72,705.988335
0.1845,179,765.691708
0.105486,116,800.121355
0.04133,103,804.51279
0.067698,156,863.204692
0.127468,109,867.738099
0.062385,153,874.124972
0.024533,315,947.993157
0.140889,132,953.587442
0.152114,343,1023.805046
0.324419,239,1034.042044
0.048289,69,1036.991622
0.158889,145,1043.238367
0.003903,98,1104.107443
0.02168,89,1107.795889
0.080134,79,1111.124716
0.156106,134,1116.935478
0.007652,73,1120.094505
0.121028,412,1191.425536
0.088205,74,1194.541225
0.372935,200,1254.124995
0.263333,202,1267.459621
0.117776,76,1270.679544
0.171038,99,1274.836447
0.010465,86,1332.499462
0.294529,193,1340.487769
0.100659,97,1347.174375
0.286233,357,1413.944921
0.0827,113,1418.675821
0.134838,77,1421.896177
0.134399,65,1427.388985
0.102495,163,1486.935401
0.377389,217,1495.983495
0.141657,220,1558.414601
0.141899,97,1565.327196
0.261647,208,1573.996855
0.065626,52,1576.171591
0.120772,92,1579.99542
0.118042,97,1635.282875
0.234019,169,1644.826491
-0.040668,995,1799.607624
0.136732,69,1802.409745
0.598018,357,1925.272154
0.564637,901,2068.679645
0.052377,45,2070.488057
0.197386,242,2082.944487
0.127494,83,2086.308157
0.246366,143,2141.569591
0.214063,153,2147.866206
0.108183,63,2153.096438
0.354236,235,2162.594404
0.129403,90,2217.215276
1.119642,421,2239.905871
0.455937,491,2309.158512
0.188659,81,2366.017944
0.572481,815,2465.996084
0.245186,88,2469.587757
0.744957,511,2553.048291
0.184148,84,2556.483988
0.263541,90,2609.075021
0.252308,117,2613.861913
0.234918,148,2657.79637
0.418601,135,2663.278764
0.363029,167,2721.013944
0.441634,270,2732.090873
0.883041,407,2812.673153
0.158269,74,2815.714567
1.304205,506,2901.600697
0.399112,221,2960.798135
0.5124,315,2992.784616
0.323645,174,3050.330088
0.128247,170,3057.272662
1.848845,837,3231.110471
0.288886,180,3238.427928
0.629362,382,3323.127005
0.688364,271,3334.033353
1.7099,804,3472.434826
0.407589,148,3493.02731
0.294394,146,3498.956037
0.285486,126,3551.682364
1.803638,759,4007.136627
0.627882,241,4023.467965
0.391451,254,4089.465003
0.29524,108,4093.989762
0.947541,450,4176.707762
1.707736,1122,4392.262761
0.508407,180,4448.775201
1.355184,418,4492.132163
0.964945,338,4555.598531
0.031895,35,4557.020005
0.69533,269,4656.103701
2.361707,723,4789.799704
0.834036,351,4891.083919
0.66159,207,4899.115894
0.444662,192,4956.612661
2.743462,758,5076.639638
2.447599,804,5287.467988
0.654769,159,5294.048951
0.7971,220,5303.106011
1.850864,665,5471.39706
5.666639,1376,5681.078613
1.132999,329,5745.357389
0.178202,64,5747.969847
2.789141,708,5834.884321
2.478951,649,5964.444075
0.718708,196,5989.237372
2.353878,500,6058.642278
1.130417,392,6160.778728
1.931394,561,6355.910332
0.650359,182,6363.522245
0.447571,139,6416.680619
1.181912,261,6484.292675
11.787245,1673,6890.217752
2.218227,451,6962.274751
1.259577,294,7089.568981
0.607186,158,7096.380932
1.296396,345,7224.478434
2.53845,467,7294.439337
3.007796,555,7427.002652
1.324572,187,7497.651293
0.143122,74,7500.724904
3.728596,535,7580.046377
0.287013,83,7707.05404
2.336966,385,7723.622599
1.55327,370,7860.842628
3.944712,644,8002.373257
19.653618,2000,8480.150192
2.062422,417,8643.508968
1.662435,302,8710.506046
1.195681,255,8783.436239
8.09821,1079,8993.435912
5.337059,841,9249.448023
0.828649,188,9256.948465
1.276834,271,9320.304679
1.881932,327,9392.105161
0.572378,149,9451.133598
22.655755,2000,9902.161083
0.185213,63,9904.737022
15.531659,1456,10282.57496
7.822688,910,10417.958554
23.722871,2000,10860.264514
14.287842,1419,11234.845495
23.685299,2000,11657.162197
24.761455,2000,12088.410142
19.356386,1569,12430.339397
24.771909,2000,12838.875525
26.938876,2000,13254.043994
25.501047,2000,13664.677246
22.098597,1629,14056.191046
25.851046,2000,14486.052596
19.30875,1399,14726.939139
27.714165,1932,15127.001236
25.866827,2000,15580.580672
0.344779,83,15584.063404
27.804317,2000,15989.501029
27.940484,1939,16394.768056
27.865406,2000,16802.509585
28.652386,2000,17155.503171
28.627246,2000,17519.702207
29.380047,2000,17861.858508
29.341124,2000,18158.516834
0.535775,126,18214.329566
29.426862,2000,18555.668644
27.503583,2000,18906.600125
28.323842,1929,19195.514292
9.629108,666,19331.064516
17.931764,1214,19503.061433
27.966538,2000,19840.593295
3.452691,282,19851.75683
27.128967,1808,20160.183412
6.962078,510,20247.388306
29.636919,2000,20568.767264
0.597974,121,20573.726785
19.931995,1338,20826.68256
9.216303,641,20914.830827
21.930408,1439,21149.618924
23.263932,1542,21419.205036
9.867081,717,21527.166139
28.818302,2000,21860.295598
6.652428,440,21929.072747
25.131065,1654,22203.909544
28.441786,2000,22530.2342
24.769182,1627,22847.633378
19.26876,1261,23090.459231
25.485405,1776,23392.164557
19.33716,1300,23634.330629
15.674904,1102,23839.297438
15.600808,1117,24010.469124
11.529599,803,24182.704227
