#{"t_start": 1633928926.0638483, "env_id": "A1GymEnv-v0"}
r,l,t
-0.114672,82,14.445243
-0.113805,469,82.81469
-0.217607,446,161.401602
-0.008273,160,220.91214
0.058024,240,291.947608
0.006488,167,349.300112
0.029755,90,353.017586
-0.001665,113,357.723504
-0.022203,54,359.937791
-0.066711,88,418.861837
0.004944,157,478.457447
0.009599,73,481.364218
0.01104,58,483.789195
-0.00246,51,485.928465
0.093352,176,492.994152
-0.004956,96,512.197493
0.054973,81,568.771152
-0.03641,503,640.090616
0.018801,50,688.437307
0.191944,175,695.764429
-0.062857,87,699.376591
0.132167,91,703.162394
0.05257,46,705.067077
-0.112474,301,799.449892
-0.053674,102,803.798391
0.198094,217,865.030367
0.006628,92,868.869138
0.061181,121,881.05935
0.099649,94,884.920354
0.041932,115,889.537578
0.239373,439,964.044535
0.075166,85,967.685072
0.514317,395,1038.099045
0.053204,154,1101.439081
0.200465,149,1107.620028
0.276755,404,1175.565166
0.052413,143,1184.912595
0.062804,53,1187.107606
0.107324,105,1191.551136
0.070492,61,1194.127032
0.383657,402,1267.039804
0.090176,90,1270.858645
0.140558,162,1331.701823
0.14413,86,1335.263423
0.238994,247,1348.153966
0.103513,70,1351.066396
0.259358,257,1413.690575
0.058695,64,1416.374391
0.103199,117,1421.288977
0.106679,92,1427.88964
0.184439,139,1486.426922
0.066151,44,1488.259559
0.480637,332,1502.146826
0.049014,64,1558.034341
0.165442,140,1566.749173
0.495874,434,1636.071726
0.126373,63,1641.201063
0.123083,118,1646.11997
0.124577,61,1648.656664
0.253164,187,1706.446603
0.116852,514,1791.37447
0.142369,73,1794.331901
0.173761,109,1798.769297
0.132419,110,1803.231386
0.131877,143,1866.029956
0.140162,101,1921.477866
0.833926,525,1997.991939
0.481816,331,2012.121126
0.184578,156,2069.408992
0.165474,81,2075.293183
0.392896,134,2080.761729
0.001779,121,2085.673745
0.358817,248,2145.261458
0.177778,74,2148.302133
0.180871,178,2158.163692
0.143963,99,2162.163253
0.358572,183,2220.565409
0.369459,158,2227.004697
0.117788,57,2234.858386
0.022788,27,2235.965546
0.111841,81,2239.271686
0.258457,99,2292.579241
0.074595,52,2294.714018
0.200377,199,2302.792421
0.414343,229,2365.664709
0.231262,134,2371.115829
0.156374,67,2373.843486
0.161881,68,2376.596661
0.22786,109,2381.011506
0.0855,46,2382.873591
0.227586,201,2457.818046
0.686776,317,2470.847346
0.318649,463,2552.333373
0.20265,123,2606.301241
0.720154,369,2659.232708
0.508016,209,2718.659344
0.292247,166,2725.473082
0.729859,588,2813.474419
0.196736,71,2816.395556
0.292878,191,2889.264216
1.118578,519,2960.786169
0.686715,377,2995.304889
0.335716,130,3051.023763
0.504245,203,3073.403178
0.325365,181,3080.818693
0.657015,332,3141.761053
0.329046,133,3174.719529
0.393748,217,3234.232614
1.068694,444,3321.435217
0.275473,263,3332.075689
0.350834,124,3336.891085
0.716326,194,3402.351153
0.464434,196,3410.315434
0.370995,123,3415.316309
0.376135,230,3472.995114
0.484193,256,3497.950907
0.920285,495,3939.731338
2.032811,975,4092.229958
0.838882,331,4170.147562
0.504527,276,4181.360301
0.481847,193,4256.41318
0.558203,216,4265.266654
0.839513,368,4331.344347
1.075817,520,4453.231792
0.630986,230,4489.052611
4.12035,1467,4790.688053
0.539673,253,4848.08557
0.16031,106,4892.266612
0.522336,205,4900.231686
0.237576,85,4903.632741
1.643419,731,5072.544187
1.666836,508,5189.817228
0.803108,282,5201.365422
0.893284,275,5293.946174
0.904139,230,5303.415597
2.289018,587,5468.534196
1.510121,418,5499.920918
1.161606,543,5585.975434
1.457642,382,5650.044426
1.958567,508,5748.43812
2.336491,551,5828.897532
1.51849,431,5900.847168
0.156204,59,5903.149815
0.663948,173,5959.098645
2.057928,530,6046.398262
1.221189,303,6058.86601
5.439126,1279,6473.792909
0.413596,138,6479.533043
2.117652,448,6549.156696
10.136297,2000,7086.164417
1.746719,324,7100.017933
14.454253,2000,7576.664789
1.554042,299,7712.952137
0.333273,97,7717.112583
15.456885,2000,8199.875143
0.532466,122,8204.928885
1.379015,327,8331.52227
15.772033,2000,8847.472353
7.561399,1092,9117.745919
11.331708,1384,9448.258969
1.256188,207,9456.884001
12.403793,1301,9778.216876
14.275791,1339,10091.899339
7.51421,993,10292.833537
9.342089,1013,10534.367999
2.773892,375,10599.366879
7.754899,1047,10851.135098
8.616344,879,11093.967633
12.82561,1391,11363.350489
22.266369,2000,11778.640073
24.93198,2000,12209.429535
23.406528,2000,12618.167174
25.153882,2000,13063.895177
25.254655,2000,13475.316335
2.684055,306,13488.079392
26.121124,2000,13932.610106
22.622666,2000,14424.364747
25.350755,2000,14836.559358
27.269382,2000,15239.727655
27.64714,2000,15653.337543
20.272585,1778,15993.823338
28.650218,2000,16401.285598
0.214994,68,16404.085244
2.539764,240,16495.505201
22.800292,1610,16805.800408
25.734099,1847,17152.39777
0.154438,58,17154.827817
26.841678,2000,17519.027603
20.041043,1343,17719.290981
28.497915,1937,18054.744962
28.680512,2000,18406.758333
23.764765,1571,18662.865336
28.965699,1912,19002.511838
15.591416,1068,19167.756402
29.197373,2000,19498.142861
16.021072,1116,19666.96558
28.910778,2000,20006.682766
28.428315,2000,20328.003378
29.046683,2000,20651.195704
12.880694,1871,20921.631935
10.496157,772,21064.128231
18.926147,1270,21263.996412
18.331574,1235,21503.435589
0.842055,172,21510.443994
21.772074,1522,21770.298606
29.535882,2000,22109.065849
3.78925,289,22139.008734
28.222987,2000,22466.62711
15.981786,1055,22644.006342
29.600098,2000,23029.719249
10.138042,760,23184.23568
29.457637,1954,23544.811356
25.569402,1636,23838.212876
14.952583,1029,24005.888474
8.619519,593,24093.855997
0.136719,56,24096.06446
