#{"t_start": 1632997273.4184916, "env_id": "A1GymEnv-v0"}
r,l,t
-0.17079,350,19.25577
-0.132857,291,136.22235
0.019176,329,149.83604
-0.154149,268,208.606983
0.026912,53,266.916317
-0.099705,122,271.931226
-0.125192,228,327.805772
0.108161,611,453.682775
-0.084067,230,463.145431
0.032467,278,580.665396
0.064054,91,584.393969
0.033219,54,586.622993
0.079495,863,775.4239
0.131291,111,779.938201
-0.038507,125,785.028419
-0.103123,241,845.705645
0.008574,290,859.727341
0.165363,855,1007.902735
0.099439,102,1012.42366
-0.016784,127,1017.973608
0.025562,250,1083.392826
0.22668,144,1089.570457
0.067058,41,1091.334077
0.067553,105,1145.774348
0.159813,161,1154.102725
0.079927,73,1157.17384
0.198929,368,1224.659892
0.116625,332,1240.080926
-0.073057,166,1300.95224
0.206677,112,1305.714917
0.113431,54,1308.001568
0.08736,61,1310.598439
0.131135,139,1317.84375
0.089533,60,1373.093127
0.129735,105,1377.568608
0.091923,51,1379.739
0.055212,62,1382.303515
0.070061,125,1387.489216
0.263815,607,1467.710428
0.180019,88,1523.107666
0.092413,72,1527.370965
0.19797,141,1533.153098
0.116337,76,1536.322313
0.095147,104,1540.751274
0.107201,67,1543.630302
0.150395,145,1602.979856
0.077064,233,1614.38337
0.09836,54,1616.652081
0.051055,173,1676.66337
0.129073,107,1681.225166
0.093272,56,1683.630231
0.060306,67,1688.003328
0.10178,50,1690.12779
0.140854,113,1694.949133
0.125255,49,1697.031322
0.097229,79,1755.491672
0.082128,84,1759.112617
0.120204,84,1762.716441
0.146253,178,1771.890721
0.140827,101,1828.944903
0.091679,64,1831.710244
0.072034,44,1833.511934
0.089977,59,1835.913153
0.102274,59,1838.369659
0.165219,242,1848.760798
0.109723,63,1901.254701
-0.045996,53,1903.475544
0.114603,53,1905.769824
0.047452,83,1909.273607
0.091631,50,1911.423185
0.118096,68,1914.292083
0.117328,147,1920.541973
0.222338,108,1978.538943
0.092224,57,1982.715383
0.113575,60,1985.366612
0.255701,160,1992.26633
0.129395,78,1995.542782
0.21911,93,2053.889615
0.230886,143,2060.006569
0.029584,63,2064.353236
0.046673,175,2071.840468
0.294281,272,2133.143723
0.083342,70,2135.986568
0.117117,88,2139.509377
0.185506,70,2144.104407
0.157549,86,2147.790021
0.126614,73,2202.64342
0.077269,46,2204.615812
0.136045,73,2207.672183
0.119892,59,2210.170378
0.111137,89,2213.887998
0.139225,69,2216.816539
0.161755,92,2222.490778
0.099846,48,2224.510573
0.083389,82,2279.415584
0.202782,90,2283.180813
0.085278,44,2285.054377
0.307401,174,2292.102198
0.103293,305,2356.887646
0.097717,73,2360.002857
0.122085,65,2362.63707
0.122139,53,2364.795879
0.109069,57,2367.079642
0.213082,116,2422.257278
0.260658,133,2429.521848
0.104268,68,2432.358061
0.065673,155,2438.922976
0.031059,87,2442.599297
0.18519,100,2495.659523
0.227786,168,2502.773006
0.153188,84,2508.042798
0.11928,60,2510.554214
0.238176,157,2569.039295
0.082644,122,2574.154491
0.130355,74,2577.260957
0.121296,66,2580.036895
0.122252,134,2587.418152
0.15694,67,2590.251179
0.227143,124,2647.544688
0.216901,193,2655.676744
0.176771,87,2659.397075
0.205902,135,2666.854117
