#{"t_start": 1632997273.269569, "env_id": "A1GymEnv-v0"}
r,l,t
-0.021217,65,7.728031
-0.233944,272,18.861734
-0.074205,88,22.451064
-0.125741,260,138.29822
0.000114,68,141.080922
-0.252066,439,206.965828
-0.026644,76,266.128239
-0.024955,68,268.913665
-0.022424,38,270.48307
0.056867,471,336.225564
0.016041,101,393.299182
-0.103409,607,522.786059
-0.047891,460,591.200602
-0.059215,76,643.162093
0.0043,250,709.420428
-0.001249,134,714.598192
0.075971,225,771.67238
0.004875,269,783.676755
-0.093958,192,841.896714
-0.045643,262,854.7891
0.077058,419,927.207898
-0.031678,144,933.542434
0.197316,316,1004.040457
0.080425,78,1007.512499
-0.009547,123,1012.965505
-0.074555,144,1073.990277
0.267555,234,1083.970658
-0.016049,61,1086.617732
0.16378,91,1090.507585
-0.146551,885,1232.603001
0.069004,112,1237.422513
-0.023001,50,1239.559296
0.03672,160,1300.205005
-0.130388,413,1319.097591
0.094933,73,1374.884415
0.042973,46,1376.823424
-0.013661,186,1384.666832
0.103086,158,1391.312823
0.092303,71,1395.818231
0.005953,25,1449.536794
0.043219,83,1453.235837
0.091988,73,1456.334805
0.039142,54,1458.688232
0.10206,54,1460.980825
0.077763,79,1464.400873
0.062122,119,1469.454106
0.09914,101,1526.60684
0.109777,95,1530.501043
0.159042,116,1535.284048
0.142916,143,1541.360716
0.080867,43,1543.207565
0.118216,51,1598.580948
0.045303,114,1603.416507
0.113688,63,1607.589945
0.060067,85,1611.182105
0.110401,57,1613.637744
0.200218,108,1618.201835
0.154347,127,1676.248335
0.111975,60,1678.807576
0.099578,68,1681.728321
0.072433,138,1689.132711
0.115222,60,1691.668321
0.16454,101,1695.983507
0.027466,97,1755.223092
0.087218,61,1757.855232
0.088483,96,1761.955076
0.136309,83,1765.488799
0.180748,154,1773.68061
0.114966,55,1775.963703
0.114862,64,1831.521824
0.174178,66,1834.226617
0.129194,85,1837.746285
0.083551,48,1839.745661
0.164003,89,1843.605392
0.100822,130,1849.157309
0.119391,74,1902.114398
0.158202,113,1906.936678
0.074179,55,1909.255807
0.128717,92,1913.176257
0.293957,132,1918.785732
0.085969,75,1921.960094
0.091179,62,1977.781963
0.098887,53,1982.009919
0.085633,68,1984.988185
0.11381,53,1987.302763
0.135896,84,1990.882633
0.152081,60,1993.465429
0.112824,83,1996.948661
0.156257,125,2056.716566
0.16891,74,2059.852916
0.071077,73,2064.653011
0.202705,70,2067.674288
0.180509,89,2071.423563
0.155335,123,2076.550994
0.0958,82,2130.07862
0.174779,81,2133.331348
0.202797,110,2137.771505
0.310699,171,2146.549576
0.13764,64,2149.26808
0.1215,59,2203.539897
0.119195,54,2205.855541
0.114673,67,2208.656586
0.143934,66,2211.443769
0.185725,88,2215.132968
0.143738,60,2217.738907
0.178892,101,2223.730795
0.140453,103,2279.520956
0.21803,187,2287.283761
0.18839,120,2292.16488
0.188641,241,2354.255594
0.150597,70,2357.204423
0.253692,129,2362.585645
0.14965,135,2368.02756
0.109476,69,2370.835522
0.107737,53,2423.479256
0.201215,205,2433.779786
0.158074,66,2436.551968
0.179135,90,2440.382712
0.18726,163,2496.113127
0.252354,108,2500.673699
0.206146,103,2506.746547
0.272204,143,2512.728589
0.116971,80,2516.162812
0.320384,150,2574.300284
0.34304,229,2583.932654
0.123732,166,2644.696271
0.24174,144,2650.815752
0.153502,77,2654.075498
0.28788,300,2720.063447
0.087466,79,2723.448205
0.181271,102,2727.782064
0.072268,41,2729.502086
0.221529,83,2733.005689
0.104702,85,2736.493872
0.191389,149,2795.835734
0.241582,113,2802.184428
0.049125,79,2805.486778
0.146143,102,2809.776783
0.29794,227,2871.304116
0.175866,69,2874.19752
0.186319,192,2884.287657
0.145754,65,2886.986721
0.110577,51,2889.144232
0.371952,195,2948.69248
0.165807,90,2952.513384
0.125975,67,2955.338452
0.153829,106,2961.930242
0.125855,63,2964.560816
0.140154,69,3020.267378
0.274847,160,3027.535975
0.141843,94,3031.766027
0.174453,80,3035.300282
