#{"t_start": 1632997272.573393, "env_id": "A1GymEnv-v0"}
r,l,t
-0.193364,227,15.010529
-0.070666,219,23.992885
-0.047813,52,26.10799
-0.13659,68,76.728276
-0.203197,188,141.807902
-0.468119,1190,393.904663
-0.188032,607,523.388835
-0.19559,273,584.116952
0.088207,255,643.441714
-0.035852,133,705.168109
0.030131,168,711.690046
-0.031728,383,776.057537
-0.072978,961,922.785729
-0.000521,174,930.482356
0.035953,145,938.242381
0.026838,48,940.375426
0.058016,97,999.776989
0.061007,83,1003.396798
0.114408,133,1009.347699
-0.314155,466,1084.267344
0.050683,220,1093.688548
-0.094477,268,1156.532254
-0.132333,306,1221.326551
0.086044,89,1225.153579
0.033449,131,1231.927585
0.127163,158,1238.711145
-0.049049,110,1243.414099
0.039151,154,1303.794542
0.113971,65,1306.546377
0.159967,112,1311.30131
-0.011543,163,1319.569085
0.04349,58,1374.725254
0.090596,179,1382.323799
0.128593,66,1385.055515
0.162845,94,1388.952181
0.05865,52,1391.200897
0.159965,111,1450.041863
0.184447,191,1458.388776
0.090445,105,1462.845262
0.023516,120,1468.000827
0.004257,190,1528.897308
0.109629,70,1531.759894
0.112408,139,1537.536939
0.115814,74,1540.699768
0.116852,89,1544.506098
0.069844,67,1600.533194
0.12013,66,1603.350628
0.076242,99,1609.04988
0.073456,106,1613.533653
0.093754,66,1616.357916
0.129284,160,1675.755139
0.069076,83,1679.324682
0.191272,100,1683.616328
0.132375,105,1689.597988
0.074268,42,1691.381297
0.098143,88,1695.141923
0.098307,72,1698.205521
0.16665,112,1758.116144
0.124451,62,1760.722551
0.067718,83,1764.313094
0.099165,54,1766.603376
0.130408,74,1769.788949
0.188356,136,1829.907989
0.090745,52,1832.166168
0.104217,60,1834.629157
0.122953,219,1843.871166
0.127653,107,1848.42183
0.419322,314,1911.598204
0.101089,64,1914.32191
0.103478,51,1916.475982
0.106428,51,1918.661296
0.058247,45,1920.571819
0.125511,61,1976.337434
0.102034,44,1978.208311
0.14016,130,1985.807051
0.14194,128,1991.318419
0.100642,86,1994.991196
0.156369,90,1998.828542
0.084665,446,2073.876973
0.088898,46,2075.757642
0.13044,62,2128.398449
0.179679,110,2132.985197
0.130339,86,2136.456182
0.088403,46,2138.296195
0.102834,113,2144.600776
0.114278,103,2148.995738
0.145339,79,2204.10027
0.163896,75,2207.292626
0.100407,52,2209.465849
0.104656,67,2212.292797
0.11689,66,2215.055018
0.08726,45,2216.979415
0.107459,184,2277.919999
0.11395,71,2280.957124
0.181002,79,2284.264669
0.07891,57,2286.644722
0.180341,149,2292.691932
0.128969,81,2295.91697
0.19477,124,2353.21773
0.111802,64,2355.952997
0.086218,53,2358.184453
0.145536,156,2364.632309
0.132743,79,2367.830674
0.381989,279,2431.517928
0.102178,51,2433.670017
0.121089,55,2435.963974
0.216711,82,2439.459267
0.120224,68,2442.327152
0.058544,64,2445.014941
0.266524,158,2500.561699
0.014703,90,2504.352476
0.129511,68,2508.958343
0.151142,67,2511.754992
0.274005,116,2516.683103
0.157585,73,2571.575881
0.272559,230,2581.245301
0.136086,57,2583.611513
0.355238,167,2592.424425
0.195554,89,2648.246392
0.084878,49,2650.312186
0.319322,166,2657.314395
0.175582,103,2661.700031
0.187174,125,2720.279282
0.16562,69,2723.25247
0.181932,114,2728.085722
