#{"t_start": 1632997273.1235657, "env_id": "A1GymEnv-v0"}
r,l,t
-0.309029,347,19.415872
-0.115592,265,78.074551
0.009373,179,142.784749
0.073332,402,207.148853
-0.050683,241,273.075709
-0.025619,358,334.209193
-0.294961,644,461.530738
-0.144733,777,704.672154
0.004637,62,707.081541
0.076486,227,715.859696
0.034126,229,773.099205
0.022648,83,777.593289
0.037263,65,780.228281
0.092464,158,786.662735
0.129949,183,844.939491
0.119059,271,858.133413
0.065671,165,919.31729
0.147293,407,938.60156
0.086119,55,940.982638
0.087426,81,999.722251
0.06621,167,1007.129867
0.009935,82,1010.798289
-0.032553,100,1015.149151
0.086613,152,1076.471108
0.252865,181,1084.204487
0.111071,145,1090.438623
0.271358,326,1155.728887
0.026382,79,1159.074277
0.044201,33,1160.526915
-0.015455,99,1164.709344
-0.007502,131,1222.061564
0.149252,72,1225.153374
0.232281,206,1235.183484
0.178787,285,1301.157392
0.086227,66,1303.977799
0.089612,58,1306.423027
0.183063,203,1316.395402
0.108691,81,1319.837714
0.128676,74,1375.659041
0.178024,239,1385.698744
-0.016277,66,1388.45365
0.136642,102,1394.271321
0.059051,43,1396.130799
0.076157,53,1451.109372
0.05069,116,1456.143097
0.101924,85,1459.812569
0.215005,115,1464.757255
0.117863,247,1528.072772
0.13558,58,1530.443622
0.180348,216,1539.492114
0.101274,145,1598.850923
0.119374,109,1603.478599
0.148692,233,1614.884853
0.02757,72,1617.925836
0.087463,68,1620.841271
0.192749,128,1678.910053
0.119086,108,1683.541675
0.023592,113,1689.866395
0.116644,102,1694.225289
0.158986,116,1754.263462
0.091907,59,1756.810977
0.109004,66,1759.614259
0.187552,95,1763.685961
0.117233,55,1766.015981
0.107343,66,1768.871198
0.054756,182,1830.992316
0.032684,38,1832.578083
0.152607,76,1835.662799
0.105986,72,1838.659951
0.081504,70,1841.633999
0.097424,51,1843.881486
0.24914,117,1848.884475
0.096929,89,1902.469594
0.081904,43,1904.262259
0.078807,36,1905.843907
0.138518,65,1908.602005
0.029657,60,1911.146199
0.074706,46,1913.113274
0.056036,48,1915.124574
0.112313,76,1918.372286
0.194771,111,1976.267615
0.105636,51,1978.584818
0.109949,54,1982.710367
0.145915,75,1986.005387
0.081556,45,1987.967276
0.157695,68,1990.860253
0.085611,42,1992.684417
0.101289,68,1995.543625
0.119017,71,1998.580886
0.059769,45,2054.874695
0.142643,98,2059.062174
0.142093,90,2064.558826
0.117012,67,2067.477243
0.048163,39,2069.123229
0.059492,96,2073.17249
0.126648,77,2076.352546
0.147053,69,2129.315503
0.140873,59,2131.761171
0.121117,66,2134.386519
0.096153,46,2136.276676
0.137279,66,2138.919812
-0.054054,290,2204.612537
0.083235,87,2208.263819
0.230396,131,2213.754536
0.119645,46,2215.707834
0.187385,133,2223.113847
0.076023,44,2224.971143
0.127004,84,2279.953754
0.167821,105,2284.391944
