#{"t_start": 1632997271.6992152, "env_id": "A1GymEnv-v0"}
r,l,t
-0.165889,123,11.637534
0.010194,225,20.861382
-0.073834,44,22.64637
-0.093482,133,75.919448
-0.194909,169,140.212167
-0.181107,212,148.904207
-0.109694,126,202.030273
0.088873,207,210.340353
0.0275,54,268.693949
-0.041784,340,329.173641
-0.023544,82,332.502398
-0.182763,536,455.335248
0.116838,78,458.525892
-0.039558,612,589.797346
-0.004486,84,593.253472
0.047248,123,703.540687
0.034317,155,709.578895
-0.069275,100,713.435544
-0.049576,67,716.030833
-0.034559,53,718.082122
-0.13509,136,771.689547
-0.169805,473,842.31598
-0.001761,248,854.558367
0.062841,74,857.811785
-0.015425,63,860.668234
-0.051769,93,918.733928
-0.044189,68,921.66514
0.056669,172,929.200103
0.156878,247,941.501438
0.056064,227,1006.649592
0.115075,119,1011.983735
0.042078,202,1075.536886
0.154908,201,1084.105572
0.177141,232,1094.042679
0.109635,212,1154.46358
-0.068398,184,1162.35365
0.092265,55,1164.674618
0.084007,177,1223.976444
-0.007907,85,1227.604965
0.009021,60,1230.171126
0.076735,48,1233.426302
-0.003955,134,1239.186886
0.054001,36,1240.723923
-0.191104,338,1308.929602
0.045876,61,1311.486521
0.118314,60,1315.399419
-0.08183,145,1321.593259
0.059397,56,1376.646344
0.010021,267,1387.82742
0.098563,68,1390.744792
0.06042,59,1393.246432
0.16787,70,1450.320617
0.117184,60,1452.990353
0.019867,108,1457.670094
0.035823,30,1458.940062
0.143401,134,1464.689118
0.18363,128,1470.162517
0.10818,106,1527.567336
0.056394,52,1529.718766
0.045831,227,1539.114619
0.104626,78,1542.441053
0.162521,107,1600.212069
0.063965,53,1602.440289
0.150059,92,1606.367354
0.080598,65,1610.631792
0.105729,115,1615.525444
0.06636,60,1618.049464
0.063132,42,1619.834611
0.228086,177,1680.016964
0.110904,62,1682.66303
0.237389,195,1692.495355
0.08746,74,1695.670086
0.056408,85,1754.396728
0.099492,258,1765.438866
0.188701,278,1831.62755
0.086495,41,1833.403675
0.122367,100,1837.476168
