#{"t_start": 1632997272.7187712, "env_id": "A1GymEnv-v0"}
r,l,t
-0.051711,501,26.087502
0.040366,151,137.418078
-0.059905,359,152.191612
-0.243619,352,270.568612
-0.020576,99,274.625483
-0.175336,383,336.767663
0.088989,117,394.503284
-0.00827,56,396.699329
-0.063255,265,455.641597
0.117289,614,586.983596
0.058468,127,592.20443
-0.017212,88,644.639069
-0.133388,109,705.378122
0.015857,129,710.386577
-0.066768,87,713.751199
0.151617,351,776.931638
-0.089054,220,785.880039
0.034153,320,849.923003
0.038567,56,853.724605
-0.087532,321,921.815753
0.035663,78,925.249648
0.04632,88,929.169921
-0.061952,296,998.680368
-0.234131,534,1076.914294
0.138778,273,1088.593471
0.099695,96,1092.704728
0.008266,95,1146.713513
0.113025,147,1154.452224
0.064985,287,1166.662468
0.070055,102,1222.759065
0.117285,91,1226.643522
0.081458,59,1229.166992
0.07582,40,1232.083557
0.194109,95,1236.176951
-0.079762,189,1298.062856
0.165254,99,1302.281549
0.103727,63,1304.970184
0.064755,77,1308.222955
0.092303,142,1315.616187
0.074021,75,1318.794528
0.089161,79,1374.837007
0.100287,61,1377.407767
0.107608,65,1380.217669
0.120191,93,1384.081012
0.096271,57,1386.416825
0.096598,62,1389.025719
0.129732,96,1394.571991
0.052441,36,1396.14704
0.087824,51,1451.009425
0.121865,105,1455.60668
0.110858,69,1458.598475
0.125959,63,1461.27224
0.180063,105,1465.787148
0.128934,65,1468.526267
0.061021,48,1470.583691
0.14545,87,1527.148216
0.153032,105,1531.455037
0.101071,157,1537.97966
0.082207,45,1539.932087
0.145612,55,1542.243479
0.102188,315,1610.34047
0.043643,46,1612.273431
0.077268,216,1621.490369
0.106813,192,1682.314204
0.146477,71,1685.334851
0.115339,73,1689.968353
0.099615,52,1692.168282
0.072887,119,1697.248832
0.084028,79,1755.723701
0.076746,63,1758.442386
0.088623,170,1765.691247
0.121971,55,1768.059212
0.038868,46,1771.602427
-0.095741,158,1831.124438
0.171566,116,1835.901849
0.132244,73,1838.937791
0.026705,64,1841.65481
0.11244,76,1844.959022
0.104859,80,1848.362298
0.114235,74,1901.351278
0.096933,48,1903.36874
0.129372,148,1909.674857
0.184609,89,1913.470427
0.183957,150,1919.832925
0.070543,142,1979.281006
0.126378,68,1983.972283
0.158058,85,1987.672065
0.155799,61,1990.284619
0.104054,50,1992.429532
0.203196,79,1995.771662
0.154729,80,1999.197074
0.14046,73,2056.701313
0.10187,55,2059.036765
0.109321,61,2061.678387
0.093843,56,2065.714435
0.123035,50,2067.874865
0.116322,80,2071.243716
0.075294,61,2073.817745
0.089123,289,2135.780304
0.12147,63,2138.313026
0.084375,41,2139.961007
0.248173,117,2146.528775
0.076016,38,2148.182007
0.040131,27,2149.31058
0.112807,132,2206.688937
0.194702,75,2209.827296
0.165232,80,2213.18653
0.13441,71,2216.204097
0.005038,131,2223.511908
0.117716,47,2225.493737
0.156629,71,2279.938184
0.118953,65,2282.645342
0.138827,90,2286.421439
0.156285,64,2288.990606
0.120627,70,2291.868995
0.114415,90,2295.455127
0.085885,59,2297.885023
0.147457,88,2353.745488
0.372998,243,2363.886231
0.126166,78,2367.050241
0.065536,60,2369.452638
0.161055,83,2423.321245
0.248272,204,2433.574158
0.139298,98,2437.678309
0.123388,83,2441.216408
0.225692,109,2494.662227
0.09015,188,2502.609898
0.295358,193,2512.44055
0.233255,146,2570.476284
0.134205,114,2575.259717
0.147049,113,2580.019107
0.209679,178,2589.244255
0.148467,82,2644.724413
0.112363,47,2646.720532
0.305346,152,2653.186352
0.163581,81,2656.578859
0.277936,122,2661.762404
0.147201,91,2667.37859
0.163111,94,2722.94111
0.169263,379,2738.921418
0.112721,87,2795.6105
0.21032,116,2802.060322
0.307558,158,2808.700661
0.168512,112,2813.426455
0.191673,76,2816.602993
0.12573,62,2871.171864
0.287361,165,2880.076249
0.174866,115,2884.957158
0.109795,44,2886.759423
0.198534,69,2889.685916
0.254963,111,2945.733693
0.265304,181,2953.353179
0.277608,158,2962.138639
0.174539,89,2965.854432
0.180372,80,3022.120409
0.258433,280,3034.754498
0.294013,147,3043.542751
0.176243,84,3101.639273
0.379045,181,3109.628701
0.289084,259,3121.060801
0.257117,119,3182.085812
0.229573,110,3186.817893
0.425723,221,3196.039382
0.092572,49,3198.028024
0.198292,255,3265.442978
0.173891,76,3268.576026
0.248193,106,3272.931042
0.157564,96,3277.035592
0.221559,171,3335.973081
0.474408,256,3349.770613
0.165099,72,3352.939798
0.420337,211,3416.556452
0.208186,98,3420.78864
0.606656,331,3491.090972
0.301291,102,3495.47569
0.378163,213,3504.538906
0.13414,74,3507.7042
0.745928,478,3585.811336
0.10007,73,3589.076564
0.291705,329,3668.121513
0.168205,91,3671.912076
0.263129,151,3731.944642
0.245148,227,3748.298137
0.395619,151,3754.764138
0.74151,423,3833.655935
0.781801,638,3921.882487
0.641496,279,3990.778832
0.210978,84,3994.480176
0.364729,130,4000.130719
0.846066,375,4078.650491
0.928366,639,4175.14845
0.428234,390,4255.303677
0.153746,81,4258.82328
0.415153,202,4322.962798
0.415118,198,4331.515203
0.418943,175,4344.890971
1.184461,418,4418.534818
0.697415,360,4497.711397
2.819237,1177,4692.760544
0.480097,293,4762.001486
0.476827,151,4809.048526
0.620731,439,4886.552243
0.506402,245,4906.478966
0.789149,470,4985.345367
1.209654,679,5144.53354
0.920006,365,5191.741998
0.944002,361,5283.255025
0.614314,279,5352.971741
0.547357,249,5364.169908
4.006375,1370,5686.344873
0.958231,360,5759.803425
0.298463,129,5765.601896
3.734418,1144,6019.745607
2.210254,795,6229.117106
0.916049,391,6246.332309
1.141039,380,6357.070659
0.321749,109,6361.739623
2.030799,637,6513.653519
1.19648,342,6528.366148
3.318373,1116,6719.283162
0.206433,94,6778.99407
0.513066,140,6823.119727
0.93414,308,6836.790279
4.764452,1417,7139.528347
2.061975,677,7343.248203
1.112865,274,7423.782648
0.639138,191,7432.241761
1.942828,689,7628.02517
2.864054,722,7740.459785
0.931084,250,7858.714179
0.597627,235,7869.134354
5.336798,1438,8290.646866
2.74167,701,8439.9397
2.159573,569,8586.659563
3.390508,878,8789.924548
1.680648,406,8929.885299
2.380398,543,9080.787065
7.864972,1552,9455.833646
8.332882,1521,9808.126126
4.345151,869,10098.824466
6.798403,1263,10399.072809
4.10285,804,10618.219293
1.901321,370,10699.187317
9.108899,1312,11034.251985
5.284519,994,11253.539959
7.185781,1208,11552.715594
10.063818,1403,11973.984483
16.888701,2000,12481.896461
1.538884,246,12492.890382
21.036542,2000,12973.976534
21.376205,2000,13530.2498
22.159816,2000,14030.155184
22.654984,2000,14524.046086
20.423918,2000,15016.332302
16.927462,1795,15452.39382
22.996492,2000,15948.424101
23.327808,2000,16447.374236
24.811186,2000,17010.47882
24.817858,2000,17496.985929
7.214112,746,17701.369244
23.994883,1963,18135.325441
11.562629,1141,18466.514106
24.550345,1969,18870.079221
11.932481,1141,19181.064194
0.594052,136,19186.933488
7.907962,930,19449.461466
17.234836,1380,19730.095014
25.50221,1928,20211.413873
25.870228,2000,20699.199149
26.564466,1977,21157.319836
24.926952,1970,21658.742154
4.704765,459,21725.428254
12.602838,1082,21982.171464
26.609061,2000,22435.045816
7.79279,826,22630.624536
25.98382,1962,23083.449071
7.524907,735,23273.984926
25.281691,1824,23695.007614
24.350536,1982,24180.835598
21.780704,1630,24577.884402
19.894413,1466,24891.154624
26.846491,1989,25328.794016
13.243987,1104,25571.248756
26.400856,1965,25990.758954
27.097163,1932,26412.525399
26.381348,1921,29281.940801
27.730179,2000,29729.02778
