#{"t_start": 1634014440.7200215, "env_id": "AliengoGymEnv-v0"}
r,l,t
-0.071339,35,1.489637
-0.040222,49,3.262203
-0.14534,67,5.71416
-0.043323,175,12.134655
-0.258417,123,16.460967
-0.157406,96,27.517659
-0.100992,126,60.012964
-0.221136,132,64.762937
-0.086328,89,68.02783
-0.18334,169,81.959923
-0.066633,143,87.16652
-0.13011,104,118.772287
-0.13157,105,122.527595
-0.120471,172,136.32007
-0.12217,92,139.852628
-0.179475,227,174.491474
-0.037575,142,179.585328
-0.069949,210,195.334314
