#{"t_start": 1634014440.8667088, "env_id": "AliengoGymEnv-v0"}
r,l,t
-0.108707,55,2.080096
-0.106814,151,7.577244
-0.18316,127,12.240056
-0.11106,53,14.087468
-0.213784,155,27.22592
-0.05258,156,60.795526
-0.136548,73,63.415959
-0.098389,147,68.783941
-0.130543,72,71.394608
-0.116721,295,117.791481
-0.094328,92,121.029634
-0.092739,130,125.716595
-0.164092,151,138.946619
-0.008953,183,145.784809
-0.016959,45,173.678938
-0.084117,119,177.918429
0.069409,107,189.687565
-0.002029,119,194.170268
-0.026307,44,195.863571
