#{"t_start": 1634014439.6797037, "env_id": "AliengoGymEnv-v0"}
r,l,t
-0.118255,77,4.042064
-0.05714,63,6.324417
-0.153185,84,9.4153
-0.127273,124,13.941711
-0.085875,65,16.195618
-0.075575,108,27.664068
-0.030551,62,29.933909
-0.033832,67,60.302352
-0.146219,202,67.585204
-0.303216,262,84.911072
-0.196909,225,120.889264
-0.169168,84,123.92018
-0.155709,120,135.780797
-0.020778,95,139.378401
-0.061895,115,143.720611
-0.094312,71,146.358397
-0.259684,391,194.792491
-0.08689,86,198.033288
