#{"t_start": 1634014438.7997966, "env_id": "AliengoGymEnv-v0"}
r,l,t
-0.028708,51,3.964759
-0.104626,59,6.09353
-0.073636,62,8.38184
-0.206158,77,11.202772
-0.158538,78,14.063893
-0.143075,69,16.468178
-0.182438,94,19.810884
-0.145248,88,30.614388
-0.123652,124,63.007645
-0.157976,101,66.65359
-0.17712,115,70.856625
-0.045035,84,73.924001
-0.158144,96,85.190205
-0.099308,98,88.757056
-0.047071,129,121.25955
-0.193753,187,127.966748
-0.086599,75,138.294423
-0.146227,219,146.552577
-0.015846,46,148.272638
-0.064753,69,177.00211
-0.150561,143,189.870415
0.00156,105,193.904038
-0.020632,83,197.085303
